all: muɲol
ankle: manmaleɟawaŋub
arm: yiwuruwad
arm: yiwuruwad
ashes: inɟangad
back: iyerm
back: iyerm
bad: guɟir
bark: loːlb
belly: abɛṛwɛ
belly: abeɹ̣we
big: ungul
bird: uɲaɣaw
bite: yeːwɛmb
bitter: unmargir
black: iːm manamarg
blood: waiya
blood: waiya
blow: mamalg
blow: mumumab
bone: mulgud
boy: laiguruŋ
boy: mawalyam
branch: maṛuwalb
breathe: alaŋoind\
breathe: naŋɛm
brother: ŋaɲelenɟ
brother: ŋanaŋaie ŋangul
burn: awaɣaneg
burn: iminɛ
burn: umaganin
butterfly: mawɛrgɔid\
cheek: mangaṛ
chest: uḷeŋg
child: alabɛmb
chin: ianad
cloud: miṛiṛm
cold: yirurg ŋawule
come: ŋamelag
correct: anbiamula
crocodile: wur̪aŋangir
cut: yaɣainbaḷ
dark: yuŋowu
daughter: ŋaŋelemb
die: unuwiyurgaba
die: -wulɛ
die: yaningawar
dig: amäwöngi
dirty: unmargir
dog: bomb
drink: umiɟ
dry: anbäḷ
ear: inaŋ
earth: mamiɟ
eat: yunɟül
egg: iŋalɛrg
egg: mawuɟulb
elbow: yilarwamb
emu: iwiɟiw
emu: iwiɟiw
eye: ibind\
eye: im
eye: iːm
eye: malaralar
face: yingolb
fall: ŋaːlin
father: anaŋai
fat (n.): ulumaŋg
fear: anɛmam
fear: ŋaninangalg
fear: yamiraːm
feather: naŋud\
few: unaŋayunmiyör
fight: muɲuwun
fight: -wu-
finger: namand
fire: wiɟälim
fire: wiɟälin
fish: naŋge
fly (n.): maŋanaŋaṇ
fly (n.): maŋanaŋaṇ
fly (v.): yaːgurg
fog: uŋeŋguŋeŋg
foot: unmaṇḍ
forehead: iliɣaw
forest: aruwaḷ
full: manɟäbi
full: umulg
girl: alarurg
girl: yelebemb weːn
give: imiɣ
good: anbiamulal
grass: manuŋun
green: umilawir
hair: aṛawiṛb
hand: inmiyur
head: ulŋerb
head: ulŋorb
hear: aŋuwiŋyem
hear: aŋuwiŋyɛm
heart: imolb
heavy: angaiaŋam
hit: imilb
hold: umolg
hole: oːwolbbu
hunt: munuyaɣai
husband: yergan
I: ŋeːg
kangaroo: wurulamb
kangaroo: wurulamb
kill: yawaḷ
knee: angad
know: yaɣiːl
lake: igad
laugh: ŋamawöbel
leaf: maiyalb
left: waɲaŋg
leg: inɟilb
lie: ureɲag
lightning: yumbarbar
lip: yaːɣir
liver: ele
live: uwali
long: ungaḍamal
long: uŋgaḍamaḷemer
louse: nenmaŋai
man: wurig
man: wurig
many: ŋaːla
meat: maɲari
meat: ŋangon̪gal
moon: yäragäl
moon: yɛragal
morning: gungulugoi-yemer
morning: uŋgulugɔiyemer
mosquito: manuw
mother: ŋaniːl
mountain: angol
mountain: ungol
mouth: iɲɟaːd
mouth: inɟaːd
name: walŋid\
nape: yuŋalmud
navel: yiːl
near: uyörg
neck: yuŋalmud
new: anguluwɔg
not: aṛiwel
old: gamum
old: onbul
old: unganbɛrg
one: igawamun
other: yölörgöwel
person: buɲi
play: ŋamɛmi
rain: iɲag
rat: igag
red: yalmerib
right: nɔːgu
ripe: mɛːm
river: iɣarara
river: iɣarara
road: welmeŋg
root: wurgiɟ
rope: moːr
rotten: menɟewemb
round: ulumaṇg
rub: imuŋör
sand: yaːḷ
say: -ŋan
scratch: liːlil ŋamenɟi
sea: manguwil
seed: ŋaːw
see: imaṇa
sharp: ŋanmangalg
short: aneŋgub
sing: mimai meŋe
sister: ŋaŋawan̪
sister: ŋarelenɟ
sit: ŋayin
skin: ungirg
skin: ungirg umaɣaind\-bal
sky: ureɲag ŋamaḷy
sleep: yeːgara
small: ŋalɛbɛmb
smell: yawi
smoke: uŋeŋg
smoke: wuŋɛŋg
smooth: unbɛlɛɟergemer
snake: yarmulargun
son: ŋanelemb
stand: ŋaiyanɟ
star: inɟugug
star: yimbarbar
stone: ulaiŋam
stone: ulaiŋam
straight: ɟɒrmud
suck: uɲi
sun: inɟuwaːwi
sun: iɲɟuwawi
sweet: ogaiyalg
tail: ṛumin
take: imaiyaɣaːb
take: mamaḷ
there: aiya
thigh: yadbau
think: yagiːl
thin: ŋalebemb
three: oŋoind\
throat: mawuɟab
throw: mawundawod
thunder: mören
tomorrow: ungulugoiyemer
tongue: iɲɟaːd
tongue: inɟaːd
tooth: yirwalig
tree: manmuɣu
turn: moinmondberemun
turn: ŋameɣɛːiɲem
two: uŋgobag
vomit: ŋamigɛd
walk: maŋai mamaɣengeb
walk: ŋamaḷy
walk: ŋamanimag
wallaby: urulamb
warm: ŋawaiŋun
wash: inmiyör unan-
wash: umanɟaiguwun
water: ogog
water: ogog
weep: ŋaimoi
what: iba
when: aga
where: aga?
who: ida
wife: wen
wind: yuwurg
wing: ŋanud\
woman: mamargirima
woman: ŋeːn
woman: weːn
wood: inɟɛnged
wood: mɛːn mara ɣainbaḷ
woomera: murgan
yellow: iwuruwud
yes: oge
