arm: kʌfɔŋ
ashes: kunʌmbʌŋ
bark: gik
bone: kʌti\i
breast: mʌmʌm
brother: gwiaŋ
burn: se
dog: kugʌŋ
ear: magil
eat: na
eye: de
fingernail: ki\i
fire: kudip
foot: koyoŋ
full: toʔneŋ
hair: sʌsaʔ
head: ki\i
he/she: adi
I: na
I: nʌgʌ
knee: mʌndamuŋ
leaf: sʌsaʔ
leg: koyoŋ
long: pʌramuʔ
louse: tumuŋ
mother: meŋ
mouth: mi
name: wʌp
neck: kʌdʌ
new: iŋaʔni
rain: gimak
road: kʌdʌpmʌŋ
sand: kiŋ
say: to
sister: gwiaŋ tamiŋ
skin: gik
sleep: dek
smoke: kudugo
spit: wi\ik
star: bʌm
straight: didimɛ
sun: mʌyʌm
thou: gu
thou: si
tie: tofʌ
tongue: mʌmbem
tooth: mi
warm: kugudu-guk
water: amʌ
we: in
wind: gugubik
wing: fir
