all: ca?
ashes: tro
bark: vo?
belly: bu.ng
big: lo\/n
bird: chim
bite: ca1/n
black: Den
blood: ma/u
bone: xu\o\ng
breast: vu/
burn: thiêu
claw: mo/ng
cloud: mây
cold: lanh
come: Di
die: chê/t
dog: cho/
drink: uô/ng
dry: khO
ear: tai
earth: Dâ/t
eat: a1n
egg: tru\/ng
eye: mAt
fat (n.): mo\̃
feather: lông
fire: lu\?a
fish: ca/
fly (v.): bay
foot: chân
full: Dây
give: cho
good: tô/t
green: xanh
hair: to/c
hand: tay
head: dAu
hear: nghe
heart: trAi tim
horn: su\
I: tôi
kill: giê/t
knee: dâ gô/i
know: biê/t
leaf: la/
lie: na1m
liver: gan
long: da
louse: châ/y
man: da
many: nhiê
meat: thi.t
moon: tra1ng
mountain: nUi
mouth: mie.ng
name: tên
neck: cô?
new: mo\/i
night: Dêm
nose: mũi
not: không
one: mô.t
person: ngu\o\
rain: mu\a
red: Do?
road: Du\o\
root: rễ
round: tro
sand: ca/t
say: no/i
seed: hat
see: thâ/y
sit: ngô
skin: da
sleep: ngu?
small: nho?
smoke: kho/i
stand: Du\/ng
star: sao
stone: Da/
sun: ma1.t tro\
sun: ma1.t tro\
swim: bo\i
tail: Duôi
that: kia
this: nay
thou: may
tongue: lu\o\̃i
tooth: ra1ng
tree: cây
two: hai
walk: Di
warm: â/m
water: nu\o\/c
we: chUng tao
what: gi\\
white: tra1/ng
who: ai
woman: Da
yellow: vAng
