all: ubba
ashes: bidinta
bark: fok\o
belly: ʔulo
big: git
big: gɨta
bird: kafo
bird: kəfo
bite: sɛt\˗
black: kar˗
black: kərɛta
blood: sugu˗ts
blood: suːta
bone: mek\eta
breast: t\anta
burn: t\ug˗
claw: t\ugunta
cloud: šar
cloud: šara
cold: meːgwa
come: y˗
correct: tumm
die: haik\
die: hayk\˗
dog: kana
dog: kəna
drink: ʔuy˗
drink: uy˗
dry: mela
ear: haytʰa
earth: beta
eat: m˗
eat: ma
egg: p\up\ule
eye: ayfe
father: a\wa
fat (n.): mod\a
fat (n.): ord˗iya
fire: ta\ma
fish: mole
fly (n.): udunt\e
fly (v.): fal
foot: toho
give: ʔimm˗
give: imm˗
good: lɔʔɔ
grass: mata
grass: maːta
hair: binana
hand: kʰuši
head: hup\iya
hear: s˗
heart: mutsuro
heart: wəzɛna
he/she: a
he/she: a
he/she: ˗asa
he/she: e˗
he/she: ˗es
he/she: i
he/she: i˗
he/she: o
horn: kəč\iyɛ
house: keta
I: ˗ay
I: ta˗
I: tana
I: tana
I: tani
kill: wər˗
know: ʔer˗
leaf: bonč\o
liver: majje
liver: tɨre
long: adusa
louse: č\uča
louse: kastol˗ia
man: asa
many: dəro
meat: ašɔ
moon: ʔagina
mountain: dere
mountain: gara
mouth: doːna
name: sunta
neck: k\ori
new: orɛta
night: k\ama
one: ista
other: hara
rain: buk˗ (vb.)ira
red: miz
red: zoʔo
red: zɔʔwɔ
road: ʔoge
road: ogi
root: t\əp\oʔ
sand: šɛfe
say: g˗
see: beʔ˗
seed: ayfe
seed: zərɛta
sit: ʔut˗
skin: galba
skin: kmoʔe
sky: hagi
sleep: zɨnʔ˗
small: guːta
smoke: č\uwa
snake: šoːša
stand: dend
stand: ʔeʔk\˗
star: t\olɨnto
stone: šučʰa
sun: awa
swim: wad\˗
tail: goyna
that: he˗ge
they: eta
they: ˗eta
they: eti
they: ˗osona
thin: leʔo
this: haga
this: ha˗ge
thou: ˗asa
thou: nena
thou: neni
three: heːza
tongue: int\arsa
tooth: ačʰa
tree: kabba
tree: zaf
two: na\ʔa
walk: b˗
walk: hameta
walk: taŋg [Gemu]
warm: binna
warm: hoʔo
water: hata
we: nu˗
we: nuna
we: nuna
we: nuni
we: ˗os
wet: irt\a
what: ʔaybe
white: boːtʰa
who: ʔoːne
wife: mačči
woman: məč\a
you: ˗eta
you: intana
you: inte
you: inte
you: intena
