all: kokotuka
ashes: huhu-hoko
bark: dau ahoro
belly: ubono
big: (er)ida
big: uri-
bird: domu
bird: romu
bite: abu-n-
black: ana
blood: hoto
blood: hotu
bone: müehüe
bone: -muhu
breast: kameho
burn: doku
burn: hota-
cloud: kohe
cold: daida
cold: raira
come: nabaka-
come: naru-
come: oa-
come: yaro
die: wapa-
dog: behoro
dog: beroro
drink: hobí-
drink: kora
dry: waha
ear: -kohoko
earth: hobahi
earth: hota
eat: nahoro-
egg: -hi
eye: -mu
fat (n.): -toi
feather: huhi
fire: hekunu
fish: homakapa
fly (v.): ?
foot: -omo
foot: -omu
give: mo(a)-
give: mo(a)·
give: mõãũ
good: yakera
green: ?
hair: -hi
hair: -hio
hand: -mõhõ
head: -kʷa
hear: noko-
heart: kobe
horn: hĩõhi
I: iné
kill: kuba-
kill: na-
knee: -muku
know: namina-
leaf: -roko
lie: tona-
lie: yahi-
liver: ?
long: kawa-
long: (w)ari
louse: ami
man: -nipora/-nebora
many: era
many: -sebe
meat: -toma/tuma
moon: waniku
mountain: hota(-kʷaira)
mouth: -roko
name: -wai
neck: ?
new: ahidama
night: -ima
nose: -kari
not: -na(ka)
not: -yana
one: hisaka
person: -rao
rain: naha
red: simo
road: omonoko
road: sisi
root: -hokonamu
round: kopo-
sand: waha
say: dibu-n-
seed: -mo
seed: namuna
see: mi-
sit: duhu-n-
skin: -horo
sleep: upa-
small: sanuka
smoke: hehuku
stand: karamu
star: -kura
stone: hoyo
sun: hokohi
sun: ya
sun: ya
swim: nako
tail: ahu
tail: -hu
that: amaha
that: tai
this: tamaha
thou: ihé
thou: ihi
tongue: -hono
tooth: -i
tree: -dau
tree: -rau
two: manamo
walk: koho-
walk: yã-
warm: ihi(da)
water: -ho
we: oko
what: bitu
what: ka(tukane)
white: hoko
who: kasika
who: sina
woman: tida
yellow: hehehe
