ankle: iŋ-ketʊlte
bird: intɪp
bite: kant
black: ko
blood: i-it
blow: yamɪŋk
boy: yokot-namp
breast: kapa ~ kaba
come: wais-
correct: yok
cut: waːl-
dark: kou
dry: kol
ear: kat
earth: yaŋ
egg: ŋeːp
eye: itʊ
fear: kas
fog: ʊrʊamɪt
girl: kontʊp
grass: koin
hair: kʊrɪpʊ
heart: ulupɪt
heavy: kʊnʊm
here: e
he/she: pi
horn: watʊ
house: ka
I: ne
knee: aʊlʊ
knee: aulú
leg: iŋes
liver: aplubʊ
long: waliː
man: ompʊp
moon: ŋoːnʊp
morning: waŋam
mountain: rosɪraʊ
navel: upɪsʊ
near: naɪ
new: ŋolʊp
night: rʊːkan
person: omn-
rat: kat
right: yok
road: kan
see: -aːŋk-
seed: ulup
sit: wel
skin: korʊpʊ
sky: kutʊm
small: kot
smoke: koulʊpʊ
snake: kamal
spit: ulan
sun: kɪt
they two: pialɪp
thigh: kopu
this: epɪl
thorn: ʊŋʊt
thou: ni
throw: yoːla
tomorrow: ɪlpam
tree: ment
vomit: kʊm
wash: iːr
water: i
water: imer
we (excl.): ten
wet: sok
we two (excl.): tenɪp
what: tolɪl
wife: ʊŋʊp
wind: kent
wind: pak
woman: ʊŋ
wood: kɪra
wood: kɪra
yesterday: kusi
you two: alɪp
