all: fuʔumayo
animal: dumayi
ankle: guhuluko
arm: mudzaʔikuto
arrow: gazamato
back: pangoso
bad: sakwa
bark: paʔuko
belly: aʔiye
big: dire
bird: desito
bird: nifa˗to
bite: am˗
bite: k\a˗
black: ˗abesu
blood: saʔuko
blow: bul˗
bone: falaʔeto
breathe: bum˗
brother: nsahab
burn: saʔ˗
burn: saʔim˗
calf: dzulutiko
cheek: k\aʔako
chest: langiyo
child: yo\o
chin: kampuko
cloud: tlungawa
cold: tsaʔu˗
come: dah˗
cut: tsal˗
cut: xuzano
die: gwaː˗
die: gwaʔ˗
dig: foʔat
dig: poʔotis
dog: kaʔuko
drink: wat˗
dry: kalahayi
dust: salamuko
earth: saʔamuko
ear: wato
eat: ag˗
egg: kaketo
eye: ilito
far: sagumu
father: gualo
fat (n.): ahlito
few: fanko
fingernail: tseʔuko
finger: nugunidugo
fire: xaʔo
fish: tsumayi
five: koʔana
five: koani
fly (v.): tsal˗
foot: fuguloko
foot: jaʔo
foot: paʔamuko
four: haka
give: ahem˗
give: loʔ˗
good: aʔela
green: k\andza
green: tsalam˗
hair: tsatamuko
hand: tsa\amuko
head: sagiko
hear: kekem˗
heart: munaku
heavy: niga
here: ajije
here: le
hit: fa\am
horn: xalinko
kill: gaʔis˗
knee: kunguluʔiya
know: balat
leg: yaʔo
lie: k\at˗
lie: palat˗
lip: ɬifito
liver: dangalayito
long: baʔati˗
louse: daliko
man: walatuko
meat: taxelato
moon: ɬahayiko
mother: guamo
mountain: lingiyo
mountain: onko
mountain: tsemuko
mouth: afuko
name: solongayo
narrow: paʔali
navel: kongolako
navel: ofuʔuko
near: tsahemi
neck: isito
new: koʔof˗
night: baliko
one: beʔa
person: hilako
push: pilit
rain: hubuko
rain: tlub
red: dimayi
river: wahamuko
road: k\ilayiko
root: dalaʔuko
rotten: kw\alati
round: balani
salt: dawito
salt: tseliko
sand: hasiŋkho
say: om˗
scratch: andzit
seed: dakola
see: gal˗
shoulder: belendayo
sister: heʔe
skin: tseno
sky: tlungato
sleep: tsum˗
sleep: xatako
small: fa˗
small: ˗nanana
smoke: selemuko
smoke: tungaʔiko
snake: tsema
spit: čembaliko
star: sasaʔamo
stone: tlaʔiko
sun: aso
sweet: iamito
tail: hayisowa
thigh: gemayi
three: tami
throat: kw\andzuko
thunder: lalaho
today: aitli
tomorrow: amasija
tomorrow: faʔimuko
tongue: ondalimo
tooth: ihlikuko
tree: tsaʔunko
two: mbæa
vagina: gulaʔiko
vagina: k\endi
vomit: dom˗
walk: tlag˗
warm: tsamali
wash: bal˗
wash: hlatat˗
water: ma\aya
what: homi
when: gaʔamayo
where: galatuko
white: ˗bakwe
white: tsaʔati
who: homigala
wide: ulungayo
wind: pelayiko
woman: wadzo
wood: pilingayo
year: balaʔeto
yellow: deles˗
yesterday: sa\anko
