all: waba
animal: muraŋ
ankle: wulu
arm: giniŋ
ashes: buɲur
ashes: ɲuŋ
back: burum
bad: waːɲ
bad: waraŋ
bad: wuyeŋ
bark: gundu
belly: bulu(ŋ)
belly: gumur
belly: muː
belly: muː
belly: muŋa
belly: muŋa
big: biran
big: budin
big: dandi
big: muanin
bite: yi-
black: mundu
black: ŋuru(ŋa)
blood: diːr
blow: bua-
bone: dia
boy: gabu
boy: gibar
branch: gari
breast: ŋamu(ŋ)
brother: ɟaɟa
brother: ɟaɟa
brother: guɲi
brother: ɟuaŋ
burn: guyumba-
burn: mari-
burn: mari-
burn: marwa-
burn: moro-
burn: moroyi-
burn: ŋua-
burn: ŋue-
butterfly: bua bua
calf: buyu
cheek: waŋgum
chest: dandar
child: bari
child: bari
child: bari bari
child: gagore
child: nonon
cloud: ŋunar
cold: bil
cold: miɟar
cold: walai
cut: ɟabimɟe-
cut: yira-
dark: guruɲ
day: ɟanan
day: baːmgan
die: bawŋi-
die: budir
die: dege
dog: bugiɲ
dry: bilili
dry: ɟiama
dust: buɲur
dust: ɲun ɲun
ear: binaŋ
earth: ɟaː
earth: ɟaː
eat: ɟaː-
eat: ɟawa
emu: mui
emu: mui
emu: ŋui
emu: ŋui
eye: may(l)
eye: mia(l)
face: ŋawr
face: ŋuar
fall: bumi-
far: wanaŋa
far: wanaŋa
father: baba
fear: benge-
fight: boro-
fingernail: gilin
fire: guyum
fire: niŋ
fish: ŋariya
fish: waŋar
fish: wina
fly (n.): diːŋ
fly (n.): diːŋ
fly (n.): diwiŋ
foot: ɟinaŋ
foot: ɟuroi
foot: wulu
forehead: ɟibiŋ
fruit: daːm
full: muːŋa
full: muŋe-ma-
girl: gin
girl: ginawaɲ
girl: maŋgaɲ
give: waː-
good: galaŋ
grass: banu
hair: bel
hair: guŋara
hand: mambul
hand: naː
hand: naːm
head: gaːm
head: ma(w)a
hear: biaŋa-
heart: duː
heart: dulu
heavy: darin
here: gaɟa
here: gana
here: gana
here: gara
here: gara
he/she: yalu
he/she: yalu
he/she: yaŋa
he/she: yaːri
he/she: yaw
he/she: yaw
he/she: yawŋa
he/she: yawri
he/she: yawriɲ
hit: bamba-
hit: bomba-
hold: maː-
hole: gununɟin
hole: nala
house: gaɲa
husband: ɲuam
husband: ɲuam
ice: ŋayr
I: ŋaɲa
I: ŋaɲa
I: ŋaːri
I: ŋaːri
I: ŋaːriɲ
I: ŋaɟu
I: ŋaɟu
I: ŋay
I: ŋay
kangaroo: guruman
kangaroo: ɟiŋ
kangaroo: maran
knee: bundur
know: biaŋa-
laugh: munɟi
leaf: gari
leg: ɟaŋar
lie: yune-
lightning: giɲbun
lightning: ɟinbuɲ
lightning: mara
lip: yilim
liver: dulu(r)
liver: ganaŋ
long: guengi
long: guengi
man: ɟan
man: buruŋa
man: mian
many: budiɲ
many: mayan
meat: ɟam
meat: ɟam
moon: gilaɲ
moon: guanɟer
moon: gulo
morning: ŋunu
morning: ŋuruma
mountain: bayir
mountain: biar
mountain: buru
mountain: buruŋ
mouth: giam
name: ɲay
name: guni
near: ɟaɲum
neck: wanda
night: ŋulgen
night: niŋ niŋ
not: waː
not: waga
not: waga waga
old: guriŋa
old: guriŋa
one: weŋge
person: bama
person: bama
person: guri
person: murun
rain: miria
rat: baduin
river: duŋgi(r)
river: girar
river: guriɲ
road: damba
root: gandabi
rope: bugur
rope: yuru
rotten: buga
sand: yarumbar
say: yaː-
say: yaːŋi-
scratch: gira-
sea: wulguɲ
see: ɲaː-
see: ɲaː-
short: yuŋguŋgu
sing: gundama-
sing: gundamena-
sister: ɟaːɲ
sister: ɟawuɲ
sister: gandan
sister: gandan
sister: giŋan
sit: ŋine-
skin: bem
skin: dilim
skin: ɟilil
sky: ŋunar
sleep: buandi-
small: wandir
smell: mur
smoke: ɟum
snake: ɲayŋ
snake: muraŋ
snake: wange
snake: wenge
son: ɟan ɟan
son: gabu
son: mian mian
spit: gaŋ
spit: goto
split: yara-
star: gunde
star: miriŋgim
stone: dai
stone: dai
stone: dawi
stone: dayi
sun: ɟanan
sun: ŋuim
sun: ɟuru
sweet: duːl
sweet: gebe
sweet: guɟa
swim: wui-
swim: wuli-
swim: wungi
tail: ɟun
take: biːla-
take: biːra-
take: maː-
take: mangi-
that: maɟa
that: maɟa
that: mana
that: mana
that: mana
that: mana
that: mara
that: mara
that: mara
that: mara
they two: yawm
they two: yawma
they two: yawmaŋa
they two: yawmgori
they two: yombu
they two: yuam
they two: yuamgari
they: yau
they: yauna
they: yaundu
they: yauŋari
they: yawi
they: youŋa
this: gaɟa
this: gana
this: gana
this: gara
this: gara
thou: ŋin
thou: ŋin
thou: ŋinbom
thou: ŋindu
thou: ŋindu
thou: ŋombambu
throat: bugur
throat: wuguɲ
thunder: burumbi
thunder: daŋa
thunder: mara
tie: dari-
tomorrow: dawmu
tongue: ɟaːŋ
tongue: ɟanuŋ
tongue: bawem
tooth: dayŋ
tooth: diaŋ
tree: birun
tree: dadu
tree: mau-guɲ
turn: ɟuare-
turn: ɟuarima-
two: boyu
two: buayu
two: bula
two: gambargaɲ
vagina: ɲim
vagina: munaɲ
vagina: ɟunu
vagina: ɟunu
vomit: ganɟa-
walk: ɟay-
walk: ɟia-
walk: mayri
walk: ya-
wallaby: waya
warm: yaraŋ
wash: waɟima-
wash: waɟimga-
water: guŋ
water: guŋ
water: nala
weep: duŋga-
weep: ŋawl
weep: ŋual
weep: ŋual
we: ŋai
we: ŋaina
we: ŋaindu
we: ŋairi
we: ŋangari
wet: maɲal
we two (incl.): ŋam
we two (incl.): ŋam
we two (incl.): ŋama
we two (incl.): ŋamaŋa
we two (incl.): ŋambu
we two (incl.): ŋambu
what: ɲaŋa
what: miɲaŋ
when: miɲandu
who: ŋan
who: ŋana
wife: ɲuamgam
wind: buran
wipe: yurinba-
woman: ɟunuŋa
wood: baŋgaŋi
wood: dadu
wood: dadu
wood: dadu
worm: ɟiːm
yesterday: dawm
you two: ŋawm
you two: ŋawma
you two: ŋawmgori
you two: ŋombu
