all: ŋɔːb
and: baːbi
ankle: mandemdai
arm: būru
arm: mende
ashes: mabuɟe
back: ɟalŋgarg
back: gunbodme
bad: -waṛwaṛimi
bark: wungɔŋ
belly: mugmaṇḍi
big: lɛŋbinbin
bird: ŋargen
bite: -bäyi
bitter: -galiyu
black: -ŋungɛn
blood: mulubin
blow: gadugulŋalig
blow: -nunɟɛːbo
bone: gɛːgɛg
boy: ɟaraŋalan̪
boy: ɟaraŋalan̪
branch: buruŋaɟu
breathe: -bɛrŋɛgbu-bɛrŋɛg
brother: gɔgɔ
brother: mabiɟ
burn: -giɲe
burn: -giɲɛ
burn: giɲwɔrgmɛ-
butterfly: ɟidbɛːḷgbɛːḷg
cheek: maŋaṇbaːl
chest: muṛin
child: ginwalyiŋ
child: nawalag
chin: ɟirga
cloud: gɔyunu
cold: -wunmi
come: -(a)ɣa
correct: manɟad
crocodile: gɔlɔmɔmɔ
crocodile: naɣaliuŋ
cut: -dugumɛ
dark: lagamuruŋ
daughter: gɔːlɔin
day: gaṛugaṛug
day: gilabɛnbɛ
die: amidiŋidiḍɔbyu
die: -warmi-
die: -warmin
dig: -birggadbiyi
dirty: -ŋug
dog: duːṛdug
drink: -baḍiɟi-
dry: -bulɛŋmin
ear: gaːlmu
earth: lɔːrɛ
eat: -ɟi
egg: gɛːgɛg
egg: gey(?)ulug
elbow: wungumeɟɛn
emu: ginimŋagbun
eye: ɟaːrmi
eye: maṇilmiɟir
eye: -wumu
face: wumɛḷɛ
fall: -manga-
father: ŋabaṛ
fat (n.): wunbaːlɛ
fear: -gɛlbuŋu
fear: -naŋɛlmi
feather: gulɛɟɛg
few: nawaɲag
fight: ganbadabudi
finger: ɟaːŋa
finger: -biriwuɟuŋ
fire: wiḍiɟ
fish: baṛbuŋ
fly (n.): mog
fly (v.): -gawuḷgwuḷg
fog: miwaḍ
foot: ɟaːŋa
forehead: waːlmu
forest: manbɛrg
full: -badaɟi
full: gabibuyin
girl: baramunduɟ
girl: ŋalguṇḍyi
give: -wu-
good: namäg
grass: milag
hair: gabu
hair: mɛṛɛ
hand: gunbid
head: wanɟi
hear: -ŋai
hear: -ŋa-lyu
heart: maṛuḍud
heavy: -dulmug
hit: -ḷɛmɛ
hold: -ɣami
hole: garɔriɟuwa
house: gɔɟbari
hunt: -yawan
husband: ŋalɣɔːbɛn
I: ŋayi
kangaroo: goːin
kill: -ḷɛmɛ
knee: bilŋar
know: -burubụ-
lake: yigubalmi
laugh: -nagarig
leaf: maɟulɛ
left: ɟaːgbu
leg: gungɔːbam
lie: -ḍamiyi
lightning: nawɔḍɔwɔḍgɛn
lip: ɟaːḍɛrɛ
liver: yuwunal
live: wunminigɛ  aŋaṇbun
long: naɣalyu
long: wulaːrud
louse: minaŋ
man: giḍimarg
many: -ḷɛŋ
meat: gunɟɔḷɔg
meat: yigaːgin
moon: wurana
morning: gabɛlgabɛl
morning: gabɛlgabɛl
mosquito: wɛḷɛwɛḷu
mother: garaiḍ
mountain: ŋɔlɔrɛɟunɟa
mountain: ŋɔlɔrɛɟunɟa
mouth: ɟaːḍɛṛɛ
name: -ŋeyowa
nape: maːbun
navel: muɲur
near: ɟinŋagab
neck: mäburu
new: nagɛrwu
not: gaːlu
old: -buláwunud
old: -buláwunud
one: naguɟi
other: gɔŋɔŋ
person: giḍimarg
play: -rabarɛ-
rain: balmad
rat: mulaṇ
red: mulubin
right: gungun
ripe: -ɟɔlɛŋmin
river: gunɟɔḷg
river: gunɟɔḷg
road: wɛːlɛn
root: maninɟälbirin
rotten: -r̪ulgwaŋ
round: -baryagbayagbun
rub: -bun(biɟi)
sand: aiɟbud
say: -wɔgɟa
scratch: -biḷgbu-
sea: gurula
seed: wumuŋaɟu
see: -na-
sharp: ŋaḍawurumburin
short: naɟu\mi
shoulder: mɔːlirg
sing: -maŋaninɟi
sister: gilɛŋburg
sister: yaːbɔḷg
sit: -ŋa
skin: giwid\
skin: ŋaɲilgbun
sky: gadum
sleep: -ḍamiyi
small: na waɲag
smell: -ŋaṛmiɣali
smoke: wungawu
smooth: na(baɾiɟ)
snake: ṇɔːṇɔ
son: gɔːḷɔin
stand: -ɟa
star: manguḍɛl
star: maniligar
stone: waːlar
stone: waːlar
straight: manɟad
suck: gabuŋaŋɔŋ ɟawun
sun: gaːnag
sweet: waːmi
swim: -ɟa lubulub
tail: wunmɔlɔ
take: -gali gubiribirgu
take: -nangaiɟ
there: gugaːbɔi
thigh: bangaːbud
think: -burubu-
thin: waṛigbun
three: two bala one
throat: mabilɣɔrɣɔr
throw: -laga
thunder: duḷḍɔi
today: balggime
tomorrow: malai\in
tongue: ŋaːg
tooth: gɛːyaŋ
tree: gendulg
turn: ŋainŋɔrɔɟa
turn: -rɔiɟaŋa-
two: gaːburg
vomit: ŋawɛɟuːa
walk: -gaŋɔru-
walk: -gawuḷgwuḷg
walk: -waṛe guḷg
wallaby: gɔṇɔbɔlɔ
warm: -ŋunɟɛwug
wash: -bunnur
wash: buyiŋur
wash: ŋanbunŋur
wash: ŋanbuyiŋur
water: gunŋag
water: ɲuɲug
weep: -ḷu-
what: baṛa
when: bilin
where: bilin
white: -walargu
who: naɣaibi
wife: ŋalgɔːbɛn
wind: dugulu
wing: gulɛɟɛg
woman: baramimban̪
woman: (ŋayi)baramunduɟ
wood: manbagalyuŋ
wood: wirid\
woomera: waḍagamul
yellow: ginbɔlɛri
yes: yau
