all: ɓari-ɓari
and: ko
animal: binata
ashes: walo
back: toruku
bad: ma-ɗaki
bark: kuli-na kau
because: ka-apaa-ka
belly: koⁿpo
bird: manu-manu
bite: pa-paki
black: ma-eta
blood: raa
blow: to-wii
bone: ɓuku
breast: ɗuɗu
breathe: [nafasi]
burn: tunu
child: ana
cloud:  taʔi-na ŋalu
cold: ma-gari
come: mae
correct: ma-lape
count: gagari
cut: ɗoɗo
die: mate
dig: seli
dirty: ma-roⁿbu
dog: maⁿtoa
drink: suⁿpu
dry: ma-tuu
dull: ma-kuⁿdu
dust: ŋawu
ear: taliŋa
earth: tana
egg: ontolu
egg: ontolu
empty: koso
eye: mata
fall: ɸʷuṛo
far: ma-riɗo
father: aba
fat (n.): taɓa
fear: ka-eka
few: sa-еd¯е
fingernail: nəmaḳapəḳ
fire: waa
fish: ikane
five: lima
float: ka-aⁿpe aⁿpe
flower: kaⁿba
flow: leⁿbo
fly (v.): po-laka
fog: gawu
foot: ae
forest: koo
four: apa
frog: ɓarakaka
fruit: ɓake
full: ɓuke
give: ɗawu
good: ma-lape
grass: ruⁿpu-ruⁿpu
green: hiǰo
guts: haⁿdu-na
guts: haⁿdu-na
hair: 6ulu-a
hand: lima
head: ɓaa
hear: raŋo
heart: ɓake
heavy: ma-tamu
he: iñčia
hit: rambi
horn: taⁿdu
how: tua apa
hunt: ose
husband: umane
ice: [esi]
if: ne
I: iaku
in: nuⁿ̄ča
kill: peka-mate
knee: toputu
know: ma-tau
lake: rano
large: maoge
laugh: po-tawa
leaf: tawa
left: kaai
leg: ae
lie: amm-ene
live: ɗaɗi
liver: ŋaŋa-raⁿda
long: ma-arate
louse: kutu
man: umane
many: ɓari
meat: ɗagi
moon: ɓula
mother: ina
mountain: gunu
mouth: muⁿ̃ču
name: saro
narrow: ma-seke
near: ma-kasu
neck: ɓoroko
new: 6aau
night: malo
nose: aŋo
old: maⁿ̃čua-na
one: ʔise
person: [manusia]
play: ma-gasia
pull: hela
push: ǰuǰul-aka
rain: ko-wao
red: kaleʔi
right: kaana
river: umala
road: ɗala
root: kulese
rope: raɓuta
rotten: ma-ɓoⁿko
round: ma-liⁿbu
rub: gigi-si
salt: gara
sand: ɓone
say: po-tutu
sea: tawo
sea: tawo
seed: wine
sew: po-soru{m}ba
sharp: ma-taɗa
short: ma-paⁿda
sing: lagu
sit: ka-(n)too-tooro
skin: kuli
sky: laiana
sleep: kole
small: ma-iɗi-iɗi
smell: wondu
smoke: oⁿbu
smooth: ma-raro
snake: ulo
some: sa-gaa
spit: pe-wilu
split: ma-weta
stab: toɓo-ki
stand: ka-ɓale-ɓale
star: kalipopo
stick: ka-tuko
suck: omu
sun: mata-na eo
tail: leⁿ̃či
they: maŋa iⁿ̃čia
thick: ma-kapa
think: [fikiri]
thin: ma-nipi
thou: iⁿkomiu
thou: iⁿkoo
three: talu
throw: tuɗa
tie: ɓoke
tongue: ɗela
tree: ʔai
turn: ɓalili
two: ǰua
vomit: lua
warm: ma-pane
wet: ma-ɓaho
what: opea
when: naipia
which: opea
white: ma-puti
who: i{ñ}čema
why: apokia
wide: ma-ewa
wife: ɓawine
wind: ŋalu
wing: pani
woman: ɓawine
worm: tana
wrong: sala
year: tao
yellow: ma-kuni
