all: amukmo
arm: tanggo-top
arm: tanggo-top
arm: wit
arrow: gop
ashes: kosep
ashes: kosep
at: kup
back: mi-mit
back: mi-mit
bad: kuyom
bark: kotae
bark: kotai
bark: kotay
belly: oi
belly: wadin
belly: wa(n)din
big: kamay
big: kutugut
bird: yet
bird: yet
bite: atigo
bite: atiko
bite: atiko-
black: kui
blood: gom
blood: (ng)gom
blood: ŋgom
bone: mit
bone: mit
branch: kitup
breast: om
breast: om
brother: biat
brother: biat
brother: net
brother: net
burn: udo-
burn: undo
burn: u(n)do-
butterfly: awomburui
calf: wan bin
calf: wan bin
cheek: koyop
chest: mbemit
child: mun
child: mun
chin: manggor-ip
cold: saruy
cold: saruy
come: me-
come: me-
crocodile: ko-batim
crocodile: mbanep
cut: ri-
dark: (n)de(m)beng
daughter: matip
daughter: matip
day: waran
die: kim-
die: kim-
die: kimiran
dig: so-
dig: so-
dog: agay
dog: agay
dog: aŋgae
drink: mi-
drink: mi-
earth: itop
earth: itop
earth: itop
earth: itop
ear: turu-top
ear: turu-top
eat: en-
eat: en-
eat: mi-akumo-
egg: wagot
egg: wagot
elbow: win gabin
elbow: win gabin
excrement: oy
eye: kerep-to(n)got
eye: kerop
eye: kerop
eye: kerop-togot
face: nggin-ò-kerok
fall: ri-
far: kamam
far: kamam
father: nat
fat (n.): tuguy
fat (n.): tukuy
fat (n.): tukuy
feather: ron
feather: ron
finger: agu
finger: agu
fingernail: muk
fingernail: muk
finger: sekek
fire: enop-tenop
fish: rakay
fish: rakay
flower: ket
flower: ket
fly (n.): imonop
fly (v.): ururuk ko-
foot: kodok
foot: kodok
foot: konok
foot: wan
foot: wan
foot: wan ga-buy
foot: wan-tat
forehead: kombisop
forest: yagok
four: kurukut kup
four: kurukut kup
fruit: mok
fruit: rop
fruit: rop
full: koya
girl: magat
girl: magat
give: yo-
give: yo-
good: wagae
guts: oy
guts: oy
hair: (nggi-)ron
hair: ŋgi-ron
hair: ron
hand: wit
hand: wit
head: gin
head: (ng)gin
head: ŋgin
head: (ng)gin-kawai
hear: dat-
hear: (n)dat-
heart: dimdop
heart: (n)dim(n)dop
heavy: kagun
heavy: kakun
heavy: kakun
heel: wan-gabuy
he/she: ya
he/she: ye
he/she: yup
hit: edom
hit: in
hole: top
hole: top
house: bitip
house: bitip
husband: kop-pari
I: na
I: na
I: nu
I: nup
I: nup
kill: iro-uru
knee: kerop
knee: kondok-kerop
know: nggoropmu
laugh: aritow-in
leaf: ron
leaf: ron
leg: kodok
leg: kodok
leg: kondok
leg: mit
lie: yan-
lie: yan-
lightning: warawae
lip: (m)bam-(ng)gat
live: ariok ba-
live: ari-op ba-
liver: ahum
long: guru
long: guru(p)
long: ŋgurup
louse: gut
louse: gut
louse: imonop
louse: ŋgut
man: kagup
man: kagup
man: ko-batim
man: kop
many: kutok
meat: yom
moon: wokoy
moon: wokoy
morning: ariw amin
morning: ariw amin
mosquito: sowen
mosquito: sowen
mother: noy
mother: noy
mountain: amgon
mouth: bon-op
mouth: bon-op
mouth: magot
mouth: magto
mouth: maŋgot
name: ip
name: ip
nape: awut-mit
navel: oy gum
navel: oy gum
near: sindik
neck: (ng)go(m)ben
new: ariok
new: mamay
night: mitik
night: mitik
nose: ambotop
old: bari
old: bari
old: kop-pari
old: ra-(m)bari
one: kenay
one: omae
one: omay
one: omay
person: kagup
person: kakup
person: kakup
rain: mirip
rain: mirip
rat: sogonap
rat: sokonap
rat: sokonap
rat: temon
rat: temon
red: tenop
red: tenop
ripe: amuy
river: ok
river: ok
root: ndit
rope: met
rope: tik
rope: tik
rotten: tereget
sand: ok yaman
sand: ok-yaman
say: rogo
say: roko-
say: rug in-
see: eto-
see: eto-
short: get
short: kutuk
short: (ng)get
shoulder: wit-mak
shoulder: wit-mak
sing: gom ri-
sing: (ng)gom ri-
sister: mbiat
sister: nani
sister: nani
sister: neni
sit: ba-
sit: (m)ba-
sit: mba-
skin: kotae
skin: kotay
skin: kotay
sky: kumut
sleep: kinum kok ke-
sleep: kinum yan-
sleep: kinum yan-
small: beron
small: beron
smell: ip-mo-
smoke: (enow-)uruk
smoke: uruk
snake: anggun
snake: gweti
son: maa(n)dup
son: maːdup
spit: ayak ti-
spit: katet
spit: katet
spit: katet ti-omo-
stand: re-
stand: re-
star: minduy
star: minduy
stone: irop
stone: irop
straight: yani
suck: mi-
sun: sat
sun: sat
tail: oy-tet
tail: wabit
tail: wambit
tail: wa(m)bit
take: rap-
take: rap (ko-)
that: ewe
they: yago
they: yagup
they: ya(ng)go
they: ya(ng)gup
thigh: kitup
thin: asak
think: opkon-ke
this: mene
this: mene
thorn: arin
thou: gago
thou: gagup
thou: go
thou: gup
thou: ŋgaŋgup
thou: (ng)go
thou: (ng)gup
thou: ŋgup
three: itipmo
three: itipmo
throat: ogaru-rop
throw: somo
thunder: kumut
thunder: kumut
tie: adap-
tie: adap-
tie: andap
tongue: anop
tongue: anop
tooth: inim
tooth: inim
tree: enop
tree: en-op
tree: korire
two: irumo
two: irumo
vagina: atop
vagina: atop
walk: ko-
walk: ko-
warm: mamin
warm: mamin
wash: agum-…
wash: akum-bi-amo-
wash: akum-biamo-
wash: ok kim-
wash: ok kim-
water: ok
water: ok
weep: kerow-ok
weep: kerow-ok
weep: rom-
weep: rom-
weep: rom-
weep: romo
we: nago
we: nagup
we: na(ng)go
we: na(ng)gup
we: naŋgup
wet: nggaenak
what: ugaeop
who: agap
wife: sarip
wife: sarip
wind: kiwuy
wind: kiwuy
wing: buruy
wing: buruy
wing: mburui
with: kup
woman: ran
woman: ran
wood: enop
wood: en-op
yesterday: wamin
yesterday: wamin
you: (ng)ga(ng)gup
you: (ng)ga(ng)o
