arm: bargur
bark: d̪uraŋ
belly: burbiɲ
bird: ɟibiɲ
blood: guwaɲ
chest: biriɲ
cloud: yuruŋ
dog: miri
earth: d̪agun
ear: wud̪a
egg: gabuɲ
emu: ŋuruɲ
eye: mil
fat (n.): wamu
fingernail: yulu
fire: wiɲ
fish: guya
foot: d̪inaŋ
hand: mara
head: balaŋ
heart: giɲ
hear: winaŋa-
he/she: ŋagwa
hit: buma-
I: ŋad̪u
kangaroo: bundar
knee: buŋaŋ
laugh: gindi-
liver: ganaŋ
many: mud̪u
meat: wigi
moon: giwaŋ
mother: guni
mouth: ŋaɲ
not: wiray
old: diribuŋ
person: mayiɲ
rain: yuruŋ
rotten: buga
see: ŋara-
sit: ŋuri-
skin: yulaɲ
sky: gunagala
small: bubaɟul
smoke: gud̪al
snake: d̪uruŋ
stand: wara-
star: giralaŋ
stone: walaŋ
sun: yiri
thigh: d̪araŋ
thou: ŋindu
throat: gaday
tongue: d̪alaɲ
tree: gigal
two: bula
walk: banaga-
water: galiŋ
we (incl.): ŋiyana
we two (incl.): ŋali
what: miɲaŋ
wind: girrar
woman: yinar
