all: ðoko
and: geini-
animal: manumanu
ashes: raβu
back:  -lobo
bad: burā
bark:  -taba
because: ni
belly:  -wāǰubu
bird: manumanu-ðaβu
bite: kasi-a
black: lō
blood: -dʳā
blow: u-βia
bone:   -čua
breast: ðuδu
breathe: ðenu
burn: taβu-nia
child: kʷa-hewa
cloud: ō
cold: kakahali
come: lāmā
correct: dodonu
count: oka-sia
cut: nisi-a
die: mase
dig: keli-a
dirty: denideni
dog: čui
drink: homu
dry: maðamaδa
dull: dʳili
dust: kaβu
ear:  -bebe
earth: βanua
empty: ŋʷalala
eye:  -mata
fall: ʔasia
far: βayawa
father: tama-
fat (n.): uro
fear: mataku-ðia
few: βiða
fingernail:  -taba-ni-lima
fire: gʷaya
fish: ika
five: lima
float: nawa
flower:  -hē
flow: roro
fly (v.): δaßu
fog: kabu
foot:  -lā
forest: βī-kaikai
four: βā
fruit:  -βua-
full: βuga
give: holi-a
good: βinā
grass: mau
green: dʳokadʳoka
guts:  -wāwā
guts:  -wāwā
hair:  -βulu
hand:  -lima
head:  -ulu
hear: roŋo-o
heart:  -raβota
heavy: bibita
he: kua
hit: raβu-sia
horn: ʔipesi
how: kuða
hunt: βa-roro
husband: seiŋʷane
if: kodaki
in: i
I: yau
kill: βa-mase
knee:  -čuru
know: kila-sia
lake: tore
large: leβu
laugh: mali
leaf:  -rau
left:  -mawī
leg:  -lā
lie: daro
live: ðola
liver:  -yase
long: balaβu
louse: kuču
man: tamata-ðola
many: wara
meat: [-huna]
moon: βula
mother: huna-
mountain: yataŋa
mouth:  -ŋuhu
name:  -yaða
narrow: ogi
near: βaleka
neck:  -domo
new: βou
night: boŋi
nose: -ŋiðu
old: čūgʷāgʷā
one: hila
person: e-ðola
play: wage
pull: toto
push: bili-a
rain: luβu
red: dʳādʳā
right:  -matau
river: e-dolo
road: đaleβu
root:  -waka
rope: tali
rotten: loβuloβu
round: giligili
rub: kuhi-a
salt: mahima
sand: βoliβoli
say: kwai-a
sea: weitaδi
sea: weitaδi
seed:  -wiri
sew: ðula-sia
sharp: ŋata
short: leka
sing: here
sit: tadʳa
skin:  -taba
sky: lomalaŋi
sleep: moðe
small: hewa
smell: ŋaru-sia
smoke: kobulu
smooth: darama
snake: ŋʷata
some: βalu
spit: katahiβi
split: lihi-a
stab: hua-kia
stand: tū
star: ǰiliŋo
stick: i-toko
straight: dodonu
suck: totni-a
sun: mata-ni-hiŋa
tail:  -laulau
they: kura
thick: kuba
think: numi-a
thin: mare
thou: iko
thou: kemutou
three: tolu
throw: daβa
tie: nahu-kia
tongue:  -mã
tooth:  -basi
tree: -ßu-
turn: βuli-ðia
two: rua
vomit: lue
warm: katakata
wet: lūlū
what: ðā
when: ŋiða
which: iβei
white: buðo
who: ðei
why: balesia
wide: raba
wife: yalewa
wind: ðaŋi
wing:  -kakaβa
woman: huna-ni-βanua
worm: baya
wrong: ðala
year: yabaki
yellow: dʳomodʳomo
