all: ɨnk\ɨk
ashes: tsɨbɨr
bark: suː\ka
belly: giːzu
big: zəːjɔ
bird: ziːla
bite: ts\aːyu
black: nič\ir
blood: bɨr
bone: atsɨn
breast: ɨːqʷ
burn: q\atlɨlzu
claw: qač\ɨl
cloud: dɨmʲa
cold: kiːbɛ
come: tɛːru
die: qɨruː
dog: qɨzɨŋ
drink: ziːyu
dry: jiːzoʷ
ear: qərɨz
eat: xoː
egg: qulʊːna
eye: ɨl
father: yiːr
fat (n.): sɔ\wɔʷ
fly (n.): ts\ɨts\a
foot: lukʷ
give: yuː
good: k\əsəʷ
grass: ts\aːka
hair: tsɨvk\a
hand: nɛn
head: aːwɨr
heart: ɨːzɛn
hear: wɔːšuː
horn: ǯi
I: aːn
kill: qaːw
knee: gɨrɨb
know: aːrqʷ
leaf: xaːts\a
long: liːgzo
louse: bɨta
many: bič\ɨq
man: ɨǯɨr
meat: siːya
moon: arba
mountain: aːba
mouth: mɨǯ(ǯ)ɛ
name: šuːŋ
neck: kɨlma
new: aːyir
night: haːr
one: ləːwa
other: laːq
rain: sowa
red: səːroʷ
road: gwiːdɛna
root: sɨr
sand: a˗šɛwɛ
say: yuː
seed: ziːra
see: qaluː
sit: qɔyuː
skin: k\ɛrbɨr
sleep: xəriyuː
small: ɨ\t\ɨn
smoke: t\iːya
snake: siːvra
stand: čibɨru
star: tsɨgolowa
stone: qarʲa
sun: kwaːra
swim: bɛbuː
tail: č\ɨra
thin: siːyu
this: ɛneɛnene˗ ˗d
thou: kɨt
three: šaːqʷa
tongue: laːq
tooth: ɨruʠ
tree: zɛf
two: liːŋa
walk: fiːru
warm: bɛːro
water: aːqw
wet: ɔːtɔn
we: yiːn
what: wɔːrɛŋa
white: tsaːroʷ
who: aw
woman: uːʷna
you: kɨtɛn
