arm: sibu
ashes: uko
belly: niro
bird: beia
bird: kaimo
blood: toki
bone: goni
branch: tatapea
breast: bodoro
breast: kino
butterfly: kararua
cassowary: koibo
child: kikiwea
crocodile: ibirai
dog: kso
ear: kusa
earth: borti
elbow: po
eye: epegu
face: osomi
father: tore
finger: kimarari
finger: tugeti
fire: mavio
fish: mini
five: pipisini
foot: mea
forest: gamai-i
four: masarigi
hair: epurupa
hand: simaia
hit: heravi
house: ogota
I: torgue
leg: auni
lip: magita
liver: iva
louse: sugani
man: sor
moon: kuwiri
mosquito: kisono
mother: tukini
mountain: darai
mouth: magetra
navel: dumu
neck: dogodi
night: duruki
nose: wodi
one: botie
rain: darepu
rat: suma
river: dupa
road: ige
shoulder: binahiwe
skin: kebora
snake: wositari
spit: eako
star: bube
stone: akabu
sun: aimea
thou: kiria
three: kipai-ia
tongue: muta
tooth: saku
tree: sumari
two: kipainoe
wallaby: teberi
water: auwo
wife: kipa
wind: urama
woman: kipa
