all: kwaom
ankle: tenenok
arm: pan
arm: pigëk
arm: pijëk
arm: upan
ashes: marak
back: kosan
belly: ibis
big: marem
big: mobyac
bite: kaweyëm
black: icëm
black: ichëm
blood: sac
blood: sanaca
bone: kak
bone: tulang
branch: tabarem
breast: mem
breast: tabuna
brother: najirëm
calf: kakë
cassowary: kames
cheek: meti
chest: tabyin
child: makanan
child: na-namut
child: ne-namur
cloud: on
cold: kakanum
come: com
come: -com
crocodile: cidam
dance: panem
daughter: emacec
day: abic
die: koram
dog: okwa
dog: okwa
drink: pe-n(-ëm)
ear: mura
ear: mura
ear: mura-nukur
earth: erau
earth: esiu
earth: idim
eat: aganëm
eat: ko-nam
eat: nanam
eat: na-nam
egg: inëm
elbow: takoban
elbow: tarobian
excrement: mica
excrement: mica
eye: nok
eye: nok
eye: nok-apec
eye: nok-wi
eye: nok-wi
face: nipi
fall: idiom
fall: idiom
far: picum
father: ntata
father: ntata
fat (n.): panic
fear: inokwai
finger: kwa
finger: kwama-barai
fingernail: ta-bi
finger: ta-jen
fire: her
fire: ser
five: kwamaparai
fly (v.): tajinem
foot: tènijën
forehead: nibin
forehead: nibin
forest: idim
four: manamarin
full: sabarim
give: neric
good: esamona
good: ezamas
good: ezamas
grass: kwatin
grass: sokun
guts: ibin
hair: -(h)i
hair: n-iric
hair: n-iricë
hair: tasi
hand: tajen
hand: tajukum
hand: ta-jukun
head: nabar
head: napar
head: napar
hear: cabanoti
hear: ejantik
hear: nantim
heart: om
heel: tenë-muris
heel: tenë-muris
here: (mbe-)mana
he/she: are
he/she: arebo-
he/she: arubyawa
hit: uwam
house: kon
I: b-
I: ci-
I: e
I: em
I: ema
knee: somun
knee: somun
know: tumona
lake: tawanamona (?)
laugh: hemic
laugh: sëmicë
leaf: taam
leg: di:
leg: icë
leg: tenij
lightning: ereran
lip: mon
lip: mun
lip: muna
live: ketakure
liver: okum
long: picao
long: picum
long: wicum
louse: pise
man: ana
man: ana
many: aberowe
meat: ting
moon: nawoc
moon: nowoc-bura
morning: anis
morning: arubya-bijero
morning: hanisewe
mother: maya
mother: maya
mountain: apurum
mouth: mao
mouth: niau
name: bukwin
name: mbekwin
nape: boten
navel: orum
near: picherak
near: tinum
neck: boton
neck: nekaan
new: pairim
night: cin
night: cin
nose: ok
nose: o-kwë
nose: o-nukur
old: mauwaci
one: abacaw
one: abe-ci
one: abic
person: inyarëm
rain: on
rain: on
rat: sobuk
red: nokanam (?)
river: pitao
road: cakur (?)
root: tikum
rotten: eruwin
say: naiec
sea: makati
see: nabem
see: (u-)warim
see: warim
sharp: etanam
short: toburum
short: totoborum
shoulder: bujeruk
shoulder: epun
shoulder: pic
sing: sewon
sing: sewon
sister: akam
sit: emecabun
skin: kora
skin: kura-kora
sleep: ndokwam
sleep: nukwam
small: mamajerak
small: matros
small: momocërak
smoke: hineu
son: anenamur (?)
spit: kew
stand: -ibic
stand: ibitam
star: cumuta
stone: kaowi
stone: ton
sun: abic
sweet: papanichis
take: eje-tabanec
take: tabarim
they: ara-ba
they: mew
thigh: mekwë
think: kwatisosës
thou: am
thou: i
thou: i-ba
three: isini-c(i)
throat: bëjan
thunder: edis
tie: cauwinem
tongue: men
tooth: kwan
tooth: kwan
tree: arasum
tree: ic
tree: ij
two: ninecu
two: nini-c(i)
vagina: inis
vagina: inis
vagina: kan
vagina: kwomaharinye
vagina: masëm
walk: -cos/-nos
wallaby: sabya
wallaby: uwet
warm: bawasan
water: pitaa
water: pitao
we: arubi-
weep: keinam
weep: nebuk
we: mew-
we: nana
we: nanëba
we: paru
where: kwatidaguk
white: karam
wife: baros
wind: esok
wind: esokwe
wing: aretëm
with: kalëm
woman: es
woman: es
yellow: kaimësëm
yellow: setan
yes: em
yes: eno
you: a
you: ao
