all: oa
big: kai
bird: anib
bird: k\anis
child: ǀo˗\i
chin: ǁgan˗ni
come: ha͂
day: tse͂˗b
dog: ali˗b
dog: ʔarib
ear: ǁnau˗gu
eye: mu͂˗gu
fall: ǁna
father: dada
five: koro
four: haka
hand: ǂ\oa˗b
head: danab
here: heba
house: k\um˗mi
I: tir
I: tita
laugh: k\ai͂˗b
leg: ǀnu˗p
lightning: naba˗b
man: k\au
man: khoe˗b
many: ǀoa˗sa
mother: e͂˗s
mother: \i͂˗s
mouth: am˗mi
name: ǀ\on˗i
one: ǀui
rat: duru˗s
say: mi͂˗ba
sister: o͂a˗s
son: ǀo˗p
squeeze: ǁkai͂
stand: ma
that: ǁna
this: he
thou: ˗ts
three: ǃnona
tooth: ǁgu˗gu
tree: hai˗s
two: ǀam
we: da
we: ti
woman: khoi˗s
woman: tara˗s
