all: ašiːn
ashes: bin
ashes: p\in
back: pɔk
bad: šigin
bark: gwaŋgi
belly: čeme
belly: kimi
big: suan
bird: ɗeo
bird: ɗio
bird: d\iu
bite: has\
bite: waθin
bite: wəs\˗
black: θ\in
blood: baš
blow: oud
blow: pe
bone: šuma
bone: šumuk
boy: ati˗
breast: ko
breathe: šʷeni
brother: kàmbám
burn: šan
claw: s\ik\il
claw: θ\igil
cloud: šɛlli
cold: čišin
cold: s\am
come: hawi
come: yɔ́m
cut: titil
cut: yeʔ
die: wu
dig: ze˗
dog: k\au
drink: ip
drink: pe
dry: k\ɔs
dry: kusin
ear: s\e
earth: k\as\i
ear: ts\e
eat: ša
egg: ʔom
egg: ɔ́mɔ̀
egg: (w)um
eye: ɓiː
eye: bibi
eye: ɓipi
fall: šuk˗
far: šet
far: šit\
father: pa
fat (n.): yɛn
fat (n.): yɛn
fear: kogir
fire: wati
fish: waːs\
fish: waθʔ
five: bus\˗in
fly (n.): kasukʰ
foot: šawkʰ
foot: šokʰ
four: dɔgɔn˗in
full: šem˗
give: ˗kɛr
give: kyikyi
good: ɓɔl˗
good: b\walin
grass: šwaʔi
grass: šwei
green: zi˗in
hair: mɔl
hair: šwiya
hand: k\ɔlɔ
hand: k\wolo
head: k\ɔpʰ
head: k\uφ
hear: sikʰ
heart: duː
heavy: did˗in
here: hare
hit: šap
horn: k\ɛː
horn: kye
I: aka
kill: k\oš
knee: ɗəbɔm
know: ər˗
know: meš
know: miš
leaf: ts\ɛpɛpi
left: ˗goliʔ
liver: do
liver: tuškir
long: tól˗én
long: tʰulen
louse: šʷɛn
louse: šuʔen
man: gwaz
many: d\elin
many: ɗelin
man: yibka
meat: šum
moon: pai
mountain: b\e
mouth: t\aː
mouth: twʔa
name: zaːga
nape: ɓa
near: ɗiš˗
neck: b\a
neck: k\wuš
new: daziʔiš
new: ziːš
night: kyisini
night: s\ini
old: guba
one: d\e
one: ɗe
other: d\ayareːn
person: yibáʔ
pull: had˗
push: tus
rain: oː
rain: wou
rat: s\ikʰ
red: p\ɛl˗
red: p\ɛlin
right: k\ana
road: kʰwa
root: bil
root: biːl
rope: šweʔ
rope: swɔ́y
salt: t\aš
sand: pʰoš
sand: pɔ́š
say: ʔuna
say: wó
scratch: s\os\˗
seed: ɛmin
seed: ɛminše
seed: yamon
see: yil˗
see: yila
sew: šo(y)
sharp: kakan˗
short: kut˗
sit: sokʰ
skin: yiːš
sky: miš
sleep: ʔiš
sleep: iši
small: s\on
smoke: kur
snake: daːšo
spit: kɔɔ̀t˗
stand: dɔ̀ːši
stand: toši
star: kɛːl
star: kyele
stone: ʔɔš
stone: ɔːš
stone: wɔš
sun: tʰe
sun: tyé
sweet: gubi(ʔ)
swim: pəgɛ
tail: siːn
take: kaš
take: kay
that: ˗di
there: amadini
thin: bʲɛzi
think: gaz˗
thin: s\ar˗
this: ˗bəni
this: da
thou: ʔaina
thou: om
three: dišin
throw: pur˗
throw: yeb˗
throw: yit\
tie: tuš˗
tongue: letʰ
tooth: šeː
tooth: šeʔɔ
tree: sáː
tree: sua
turn: wədi
two: sowɛn
two: suʔin
vagina: pitʰ
walk: peː˗
walk: ya
warm: ɓəs\
warm: mankum
water: ʔiʔi
water: yiːʔ
we: ʔana
weep: k(ɔ)we
we (excl.): ana
we (excl.): ana
we (incl.): amon
we (incl.): amon
wet: yas˗
wet: yasin
wet: yɛs\
what: dini
when: gik˗
where: ámini
white: p\atan
who: yedi
who: yida
woman: ɓamit
woman: bemid
year: kwə̀líʔ
yes: yoː
