all: čàːl
ashes: gɔ́ːlù
bark: úrkù
belly: tiəŋ
big: úrú
bird: kùbə̀r
bite: rùmàn
black: dimɔgɔ
blood: ɲáːbò
bone: gíːčù
breast: wúːtò
burn: súːšá
claw: kɛ́lyà
cloud: íːdò
cold: čèrátá
come: kúːnyà
die: áršà
dog: bɔ̀hɔ̀
drink: arθià
dry: kùk\wáːk\à
ear: ɲàbó
eat: kə́b
egg: mɔ́ːgù
eye: kɛ́ːrbù
father: bùːbá
fat (n.): sa\gaʔ
fire: gùː
fish: árrtù
fly (n.): kɔ́rɔ́ŋà
foot: ǯo
give: hi\yaʔ
good: bùšúːgù
grass: iyaːn
hair: čìráːžù
hand: búːrà
head: šùːbò
heart: lùáːbò
hear: wáːyà
horn: šeː˗
I: aːn
kill: yímtù
knee: kʷamɛ
know: ìbə́ǯíà
leaf: k\àkútò
liver: nə̀hɔ́
long: rrǽːntò
louse: íːntó
man: huːr
many: hɔ́kɔ́tù
meat: ɛ̀ːrùŋ
moon: tì\gèš
mountain: kùrúg
mouth: tɔːk
name: sàːryá
neck: bɔ́ːlù
new: kànìk\úːlà
night: ɲìkírì
one: kʲímàːn
rain: gwɔt
red: čàčùkó
road: gùːwár
root: kìrìndó
sand: kìáːčù
seed: lìbà kə́rbù
see: gaːwiya
sit: wɔ̀n də́bù
skin: rùːá
sleep: ùŋùbá
small: díːnì
smoke: káːyù
snake: šaːt
stand: dúːrbà
star: méːnò
stone: be(č)
sun: šuːš
swim: rrɔ̀kú
tail: kuːr
thin: báːččù
this: θìnáθìná
thou: ìnyá
thou: (i)yɛ̀
three: ǯíːɛ̀n
tongue: kaːt
tooth: nìgúː
tree: sáru
two: d\áà
walk: kú
warm: kéːčò
water: múːà
wet: bèǯùkó
we: úːwà
what: iːyɔː
white: tɔ́kɔ̀
who: ˗nì
woman: hùːrìáŋò
