all: אַלע
and: און
animal: חיה
ashes: אַשן
at: בײַ
back: צוריק
bad: שלעכט
bark: בילן
because: װײַל
belly: בױך
big: גרױס
bird: פֿױגל
bite: בײַסן
black: שװאַרץ
blood: בלוט
blow: בלאָזן
bone: בײַן
breast: ברוסט
breathe: אָטעמען
burn: ברענען
child: קינד
cloud: װאָלקן
cold: קאַלט
come: קומען
correct: ריכטיק
count: צײַלן
cut: שנײַדן
day: טאָג
die: שטאַרבן
dig: גראָבן
dirty: שמוציק
dog: הונט
drink: טרינקען
dry: טרוקן
dull: טעמפּ
dust: שטױב
earth: ערד
ear: אױער
eat: עסן
egg: אײ
eye: אױג
fall: פֿאַלן
far: װײַט
father: טאַטע
fat (n.): שמאַלץ
fear: מורא
feather: פֿעדער
few: װינציק
fight: זיך שלאָגן
fingernail: פֿינגערנעגל
fire: פֿײַער
fish: פֿיש
five: פֿינף
float: שװימען
flower: בלום
flow: פֿליסן
fly (v.): פֿליִען
fog: נעפּל
foot: פֿוס
forest: װאַלד
four: פֿיר
freeze: פֿאַרפֿרירן
fruit: פֿרוכט
full: פֿול
give: געבן
good: גוט
grass: גראָז
green: גרין
guts: קישקעס
hair: האָר
hand: האַנט
head: קאָפּ
heart: האַרץ
hear: הערן
heavy: שװער
here: דאָ
he: ער
hit: שלאָגן
hold: האַלטן
horn: האָרן
how: װי
hunt: יאָגן
husband: מאַן
ice: אײַז
if: אױב
in: אין
I: איך
I: מיך
kill: טײטן
knee: קני
know: װיסן
lake: אָזערע
laugh: לאַכן
leaf: בלאַט
left: לינקס
leg: פֿוס
lie: ליגן
liver: לעבער
live: לעבן
long: לאַנג
louse: לױז
many: אַ סך
man: מאַן
meat: פֿלײש
moon: לבֿנה
mother: מאַמע
mountain: באַרג
mouth: מױל
name: נאָמען
narrow: שמאָל
near: נאָענט
neck: האַלדז
new: נײַ
night: נאַכט
nose: נאָז
not: ניט
old: אַלט
one: אײנס
other: אַנדער
person: מענטש
play: זיך שפּילן
pull: ציִען
push: שטופּן
rain: רעגן
red: רױט
right: רעכטס
river: טײַך
road: גאַס
root: װאָרצל
rope: שטריק
rotten: פֿאַרפֿױלט
round: קײַלעכיק
rub: רײַבן
salt: זאַלץ
sand: זאַמד
say: זאָגן
scratch: קראַצן
sea: ים
seed: זױמען
see: זען
sew: נײען
sharp: שאַרף
short: קורץ
sing: זינגען
sit: זיצן
skin: הױט
sky: הימל
sleep: שלאָפֿן
small: קלײן
smell: שמעקן
smoke: רײכערן
smooth: גלאַט
snake: שלאַנג
snow: שנײ
some: עטלעכע
spit: שפּײַען
split: שפּאַלטן
squeeze: דריקן
stab: שטעכן
stand: שטײן
star: שטערן
stick: שטעקן
stone: שטײן
straight: גלײַך
suck: זױגן
sun: זון
swell: געשװאָלן װערן
swim: שװימען
tail: עק
that: יענער
there: דאָרט
they: זײ
thick: גראָב
think: טראַכטן
thin: דין
this: דאָס
thou: דו
thou: דיך
three: דרײַ
throw: װאַרפֿן
tie: בינדן
tongue: צונג
tooth: צאָן
tree: בױם
turn: קערן
two: צװײ
vomit: אױסברעכן
walk: גײן
warm: װאַרעם
wash: װאַשן
water: װאַסער
wet: נאַס
we: מיר
what: װאָס
when: װען
where: װוּ
white: װײַס
who: װער
wide: ברײט
wife: פֿרױ
wind: װינט
wing: פֿליגל
wipe: װישן
with: מיט
woman: פֿרױ
worm: װאָרעם
year: יאָר
yellow: געל
you: איר
