arm: gabaɹ̣
ashes: muɹ̣in
back: bawu
bad: ɟangan
bark: guga
belly: dubur
big: ŋalal
bird: ɟaruy
bite: baɟa-l
bite: maɟa-n
bitter: mamba
black: bugal
blood: gawar
blow: buybu-ɹ̣
bone: babal
boy: waŋaɹ̣
branch: giɹ̣i
breathe: mundu
brother: ŋaɲɟaguman
brother: yaba
burn: guba-n
burn: waɟu-l
butterfly: guban
butterfly: guŋgambuɹ̣
calf: bala
chest: magu
child: ŋumbubu
claw: biguɲ
cloud: maɹ̣un
cold: banba-n
cold: gudaɹ̣
come: gada-n
crocodile: gaɲar
cut: ɟalŋa-l
cut: baga-l
cut: baga-l
cut: daga-l
cut: daga-l
cut: gunda-l
cut: yaŋgi-n
day: bugamugu
die: wula-n
dig: ɲari budi-l ~ ɟara-l
dig: ɟula-l
dirty: gaɟul
dog: gudaga
drink: wuŋa-n
dry: bumba
ear: bina
earth: ɟabu
eat: buga-n
egg: binir
egg: diŋal
eye: banbi
eye: ɟili
face: ŋumbaɹ̣
fall: wanda-n
father: bimbi
fat (n.): dirgul
fear: bambaɹ̣a-n
fear: manŋa-n
fear: yaɹ̣ŋga-n
feather: dila
feather: murŋgal
fight: duyi-l
fingernail: biguɲ
fire: buɹ̣i
fire: mimi
float: walŋga-l
flower: gamu
fly (n.): baɹ̣abaɹ̣a
fly (v.): waymba-n
foot: ɟina
forehead: dalu
forest: wargin
girl: gumba
give: wiwi-n
good: guriɲ
hair: ɟibi
hair: muray
hand: mala
hand: mandi
head: dungu
hear: bina-n
hear: binaŋa-l
hear: binaŋa-l
heart: burɲa
here: yiŋgu
hit: balŋa-ɹ̣
hit: bunɟa-n
hit: bunɟa-n
hold: duga-l
hold: nambi-l
hole: ɲari
hole: murgu
hole: ɟuŋga
house: duguɹ̣
how: waɲɟuluy
husband: muŋga
ice: wuɟar
I: ŋaɲaɲ
I: ŋaɟin
I: ŋayu
kill: bunɟa-n
knee: buŋgu
laugh: maŋga-n
leaf: gubu
leaf: maɹ̣a
lie: wuna-n
liver: ɟiba
long: guran
long: guran
louse: guli
louse: mindil
man: waguɟa
many: ŋabi
meat: ɲaɲɟi
meat: ɲaɲɟi
meat: miɲa
moon: gindan
morning: bugamugu
morning: ɟiɹ̣i
morning: ŋaɟaguran
mosquito: muɹ̣iɹ̣
mother: muɟam
mountain: ɟaruway
mountain: bunda
mouth: waɹ̣i
name: guwal
nape: wugul
navel: ɟibin
near: bidi
near: biri
neck: gurga
new: ɟalam
new: muyubara
night: buga
night: guygaguygam
nose: ɟiŋay
not: giyi
not: ŋuɟu
old: darŋgidarŋgi
one: guman
person: bama
play: dunɟi-n
pull: burga-l
pull: munda-l
rain: ɟara-l
rain: gaban
red: gumaɹ̣i
right: malan
ripe: nuba
river: ŋanɟar
river: wuɹ̣u
road: gabay
root: ɟinaɹ̣
rotten: bulu
rub: bulba-l
rub: danda-ɹ̣
rub: yubi-n
salt: biriɲ
salt: mamba
sand: gulgi
say: ɲaŋgaːɟi-n
scratch: giba-l
scratch: giba-l
sea: biriɲ
sea: gulbul
see: wawa-l
see: wawa-l
sharp: ɟuɹ̣i
short: gulga
shoulder: binda
sister: ɟaŋgul
sister: galŋiɹ̣
sit: ɲina-n
skin: guga
sky: yigan
sleep: wuna-n
small: gidil
smell: bunɟal
smell: ŋamuray
smoke: wuɲɟu
snake: ɟama
son: galbin
sour: mamba
split: yaga ɟaɹ̣a-l
split: yaŋgi-n
stand: ɟana-n
stone: ɟubuɹ̣
stone: walba
straight: yangaɹ̣
suck: maɟa-n
sun: buŋan
sweet: banga
swim: ɟuwi-n
tail: gambil
that: ŋuŋu
that: yuŋu
there: ŋuŋgu
there: yuŋgu
think: bina-n
think: ŋuyar wanda-n
this: yiŋu
thou: ɲundu
thou: ɲunduːba
thou: ɲunduːbaɲ
thou: ɲunduːban
thou: ɲuni
thou: ɲuniɲ
three: dagul
throw: duda-l
thunder: ɟigur
tie: milma-l
today: yaluŋunda
tomorrow: ŋaɟa
tongue: mila
tooth: dira
tree: ɟugi
two: ɟambul
vagina: ɟiŋgin
vagina: wira
vomit: gama-n
walk: gali-n
walk: ɟuŋga-n
walk: yaɟi-l
wallaby: gangul
warm: ɲalgil
warm: wumbul
water: bana
water: bayba
water: bugun
weep: badi-n
weep: duwu
we: ŋaɲɟi
we: ŋaɲɟiːɲ
we: ŋaɲɟiːn
we two (incl.): ŋali
we two (incl.): ŋaliːɲ
we two (incl.): ŋaliːn
what: waɲi
when: waɲɟa
where: waɲɟa
who: waɲa
wide: wagaɹ̣
wife: wagal
wind: guɟun
wind: yiway
woman: buɲa
wood: ɟugi
wood: ɟugi
worm: ɟuŋgum
yesterday: guygam
you two: ɲunduːba
you two: ɲunduːbaɲ
you two: ɲunduːban
