all: ɟulu
and: muntu
animal: muḷa
animal: piru-
ankle: n̪uːɹ̣ka
arm: ɟiḷi
ashes: ɟinta
ashes: ŋari
ashes: yiwaṭa
back: kuθ̞i muru
back: muru
bad: waɟi
bark: maḷu-
bark: paṇŋa
belly: ŋaḷu
belly: ŋaḷu
big: waɟikaṭa
bird: ŋaṇkaɲuŋu
bird: paɹ̣parɲuŋu
bird: paṭuwaḷaː
bite: muɲɟu-
bite: paː-
bitter: kari
black: waru
blood: maṭa
bone: kuθ̞i
branch: miː
breast: piwi
breast: piwi
breathe: ŋayiɲ
breathe: ŋayiɲkari-
brother: kaya
brother: maraː
burn: kampa-
burn: kampa-
burn: parwa-
butterfly: kawaḷiwaḷi
cheek: kaṭaː
chest: puṭuŋu
child: maŋkuḷa
chin: ŋaṇŋaṇ
claw: mitɟu
claw: ŋaɹ̣ura-
cloud: kaṇṭaɹ̣a
cold: muθ̞umuθ̞u
come: kanaŋkari-
correct: maɹ̣kura
cut: kaṭaː-
cut: mau-
cut: t̪ani-
cut: wiṇṭa-
dark: waru
dark: waruɹ̣u
daughter: kuṇṭat
day: yura
day: yura
die: kuru-
die: ɲuṇṭi
die: ɲuṇṭiwaṇi-
dig: yura-
dirty: waru
dog: waɲɟa
dog: yuːru
drink: miɟa-
dry: piyu
dust: ɟuṭuː
ear: kuɹ̣ka
earth: ŋura
earth: t̪uŋka
eat: ŋaɲɟa-
eat: ŋarku-
egg: ɟimpu
egg: miɟaɹ̣a
egg: pirapira
elbow: waṇkuḷa
emu: ɟaṇkuṇa
eye: ɲanti
eye: ɲariman̪t̪u
eye: t̪uḷa
face: kumpa
face: puḷu-
fall: puŋka-
father: mama
father: maṇṭi-
fat (n.): ɟinɟi
fat (n.): wiḷukuɹ̣u
fear: waː
fear: waːri-
feather: paṭu
few: kuɟa
fight: paya
finger: maɹ̣ara
fingernail: yirka
finger: ŋaŋkaːɲu
fire: ɟiːri t̪ama
fire: t̪ama
fire: yuraɟi
fish: kawi
float: puyaːɹ̣pa-
float: wila-
flower: ɟuṭu
fly (n.): waruṇparuṇ
foot: ɟina
foot: maṭu ɟina
foot: waḷa
forehead: yiṇṭi
four: kuθ̞ara kuθ̞ara
fruit: puḷaːla
full: wiɲa
give: yuŋku-
good: miṭawaɟi
grass: warapa
green: pit̪u
guts: ɟuḷiɲ
hair: ɲaɟu
hair: miɲɟa
hair: wauṭa
hair: yuruṇ
hair: yuruṇ
hand: maɹ̣a
hand: maṭu maɹ̣a
head: puθ̞a
head: ɟuː-
heart: pulaṭa
hear: waɲaːri-
hear: waɲaːriɲɟari-
heavy: ŋuŋkumaṇṭa
here: n̪ula
he/she: n̪aː
he/she: ŋun̪u
he/she: wala
hit: ŋara-
hit: wanpi-
hold: manku-
hole: muɟi
horn: paṇaŋari
house: maya
how: wan̪t̪aṇi ŋara
hunt: wiyanu
husband: n̪anti
I: ŋaːṇṭu
I: ŋayi
I: ŋayu
kangaroo: patɟari
kill: ɲuṇṭima-
knee: maṇpur
know: mi-
lake: yinta
laugh: t̪uṇi-
leaf: para
leaf: wat̪aṇ
left: ɟampu
leg: wiṭa
lie: ŋari-
lightning: kanaɟi
lightning: waḷiwiṭi
lip: waḷi
liver: ŋamari
long: wanara
long: wanara
louse: kulu
man: piɹ̣iri
man: waṇṭiaḷaː
many: maɹ̣u
meat: muḷa
meat: muḷa
meat: piru-
meat: piru-
moon: wilara
morning: kanalili
morning: waruwarulamu
morning: yura
mosquito: kumiṇ
mother: ŋanka
mountain: maṇṭa
mountain: paɹ̣ku
mouth: t̪aː
name: yini
nape: n̪anka
narrow: kupiɟa
narrow: kutpaṇ
navel: ɲiḷun
neck: ŋaɟi
new: yiyaŋu
night: waru
night: waruːraː
not: miṭa
not: yuḷu
old: kuṭampaː
old: ɟuɟu
one: kuɲɟi-
person: ŋaːṭa
play: wiriwaṇi-
pull: puri-
push: t̪uθ̞u-
rain: yuntu
rain: yuntu yinti-
red: maṭamaṭa
right: maːṭa
ripe: kampaːyi
river: karu-
river: wuntu
river: yiɟiṭi
road: maṭi
road: wiṭaɲ
road: yiṭiya
root: ŋat̪a-
rope: miriɟi
rotten: puwa
rotten: puwaḷu
rub: pa̪ama-
salt: kari
salt: waŋkuru
sand: t̪uŋka
say: waŋka-
scratch: yirwa-
scratch: yurwi-
sea: t̪aṇaṭi
see: n̪au-
see: n̪au-
sharp: yumpu
short: kuta
shoulder: wiɹ̣kaː
sing: yiraːma-
sister: t̪uṭu
sit: paṇi-
skin: kawuṇ
sky: ŋaṇka
sky: paɹ̣par
sleep: maṭu
small: kupiɟa
smell: paṇṭi-
smoke: puː-
smooth: kaɹ̣unu
snake: waḷu
snow: ŋawuṭari
snow: wura
son: maɲka
sour: puwa
sour: waɟi
spit: ɟanti-
spit: wiθ̞a
split: t̪aːṭama-
squeeze: ɟumpi
stand: kaɹ̣pa karil
star: paṇṭuraṇa
star: piṇṭiri
stone: maṇṭa
straight: t̪uruṭ
straight: wayu
sun: yura
sweet: maḷiya
swell: muraturi-
swim: kurawayi-
tail: kaṇṭi
take: kaɹ̣pa-
take: maɲulaː-
take: muya-
that: ŋun̪aː
that: ŋun̪u
that: wala
there: ŋula
there: ŋulaːṭa
there: walaːṭa
they: -kiːri
they two: ŋuṇ-
they two: n̪ur-
they two: wala-
thick: muṇṭu
thick: waɟikaṭa
thigh: kala-
thigh: kuniŋka
thigh: wulu
think: kuɹ̣kaɲɟa-
thin: kupiɟa
this: n̪aː
thorn: ɟiri
thou: ɲinkaːṇṭu
thou: ɲinku
thou: ɲinta
thou: ɲintauː
thou: ɲintauː
three: ɟarwuti
three: t̪uri
throat: miɹ̣a
throat: waŋkar
throw: ŋayi-
thunder: yintari-
tie: ɟanka-
tie: manta-
today: yaːla yuraŋka
tomorrow: waruŋkamu
tongue: yat̪u-
tooth: yira
tree: waṇṭa
turn: pinkali-
two: kuθ̞ara
unripe: wanka
vagina: miṇṭin
vagina: t̪aːri
vagina: t̪aːri
vomit: karkaḷi-
walk: mui-
walk: paŋkari-
walk: wila-
warm: kuḷu
warm: kuḷu
wash: pun̪t̪a-
wash: pun̪t̪a-
water: maṭu
water: pawa
water: yarwa-
weep: kaṇṭa
weep: ŋaθ̞i-
we (excl.): ŋaliyauː
we (excl.): ŋayin̪t̪ari
we (incl.): ŋaliuː
we (incl.): ŋaliuː
wet: maṇṭi
we two (excl.): ŋaliya
we two (excl.): ŋayuwaṭa
we two (incl.): ŋali
we two (incl.): ŋaliyau ɲinku
what: ŋani
when: wan̪t̪aṭa
where: wan̪t̪ila
white: ɟiwara
who: ŋana
wide: t̪atpi
wife: ŋuraɲu
wind: wirwi
wing: ɟaɹ̣pu-
wing: maraḷi
wipe: waḷima-
woman: t̪aːriaḷa
woman: waṭira
wood: waṇṭa
wood: waṇṭa
woomera: miru
woomera: waɹ̣para
year: muθ̞u
yellow: piyu
you two: ɲinkuwi
you two: ɲintauθ̞a
