ashes: ul
bark: akap
belly: akʊm
big: souwon
bird: suwe
blood: get
blood: mep
bone: oat
breast: ak
cloud: xɪna
cold: sʊn
come: ma
dry: ɪkɪmon
ear: ɪsago
earth: gɪnaŋ
eat: namɪn
egg: (sʊwe-)gen
eye: ɪdei
feather: suwe-tuk
fire: idok
fly (v.): lamdɪl
foot: ayʊk
give: ok-nimin
hand: igik
head: ʊgʊl
hear: koɪkʊ
heart: ɪdei
I: an
kill: watin
know: oluk
leaf: egela
lip: abilik
louse: pɪ
meat: unu
mountain: dom
mouth: abilik
name: unuk
neck: ogolop
one: mɪsɪk
person: ?ap
road: pʊgalem
root: omagen
round: pʊmaŋ-on
sand: yɪgɪ
say: kele ɪn
seed: ei
see: kil yet-niseke
skin: akap
small: dot-on
smoke: kʊpʊ
stand: in-amin
stone: kelep
sun: mo
swim: ik gume
tail: akaye
that: ɪdɪ
thou: kat
tooth: eyak
walk: lak
walk: lak
warm: enakan
water: ik
we: nɪt
what: nuge
white: yagou-on
who: sa
woman: keap
