all: nesia
animal: egi
arm: age
arm: age
arm: age
arm: eni
arm: eni
arm: wana
back: dubena
big: daira
big: dera
bird: ada
bird: ada
bird: ada
bird: ada
bird: adau
bird: adau
bird: gasira
boy: amara
brother: dabue
brother: datae
brother: kaka
brother: yabue
burn: ya-
come: a-
count: yawi-
cut: yana-
dark: dumu
daughter: aruma
day: yawi
dig: dau-
dog: kua
dog: kua
dog: kua
dog: ua
dog: ua
dog: wa\ai
dog: wa\ai
ear: ome
ear: ome
ear: omi
ear: omi
eat: i-
egg: baka
eye: diti
eye: diti
eye: nawata
eye: nawata
eye: niapa (avara)
eye: niapa (avara)
face: ibo
face: ibo
face: nate
face: nate
father: baba
father: baba
father: baba
father: babai
father: babai
father: babaki
father: babaki
father: damama
fear: iyara-
fight: ura-
fire: iyo
fire: iyo
fire: safo
fire: safo
fire: sapa
fire: sapa
fish: eliegi
fish: eliegi
fish: eriegi
fish: eriegi
fish: erio egi
fish: nasa
fish: nasa
foot: aina fafa
foot: aina fafa
foot: bovi dama
foot: bovi dama
foot: buri
foot: buri
foot: buri
forest: nauwa
forest: oi
four: agibunuba
give: ma-
good: kobere
good: kotoφu
good: ráu
hand: aga-papa
hand: aga-papa
hand: age
head: koφiri
hear: nau-
heart: neno
heavy: urumu
he/she: ada
he/she: ada
he/she: dawa
he/she: dawa
hit: u-
hole: eba
house: mari
house: mari
house: su
house: su
house: su
house: sua
house: sua
how: anene
husband: awera
I: iva
I: ma
I: na
I: na
I: na
I: na
laugh: yo-
leg: buri
leg: buri
leg: soφu
long: yaφa
long: yaφa
man: amara
man: amara
man: eme
man: eme
man: emi
man: emi
man: emi
man: emi
many: taima
many: φeφera
meat: dama
moon: deba\a
moon: deba\a
moon: marabi
moon: marabi
moon: sakra
moon: sakra
mother: amai
mother: amai
mother: baia
mother: baia
mother: bai\ai
mother: bai\ai
mother: baya
mother: danua
mountain: maidani
name: iφu
near: su
night: dumu
not: da
not: me
one: demurai
one: dimuri
one: miau
one: moi
person: eme
person: uwára
pull: you-
push: you-
rain: obi
rain: obi
rain: obi
rain: obi
rain: uri
rain: uri
road: daba
road: daba
road: daba
road: daba
road: daba
road: eda
road: eda
root: ini
rope: nama
say: we-
see: e-
short: φuya
sit: yau-
skin: oφe
sleep: ai-
small: otowa
small: rátu
snake: towima
stone: begiro
stone: gebiro
stone: gebiro
stone: gebiro
stone: gembiro
stone: gembiro
stone: oma
stone: oma
sun: koai
sun: koai
sun: kowa
sun: kowa
sun: veaga
sun: veaga
tail: toroma
take: mu-
that: etei
that: etei
they: ema
they two: ya
they two: ya
think: imu-
this: ewa
this: ewa
this: i
thorn: sini
thou: a
thou: a
thou: a
thou: a
thou: aboaten
thou: aboaten (?)
thou: ya
three: laragun
three: larogun
three: rarogonu
three: yaimi
throw: sa-
today: awona
tomorrow: waidumu
tooth: nio
tooth: nio
tooth: nio
tooth: nio
tooth: nio
tooth: ni\o
tooth: ni\o
tree: ána
two: larela
two: larera
two: sadei
two: yaiyai
walk: an-
walk: durami
walk: ina-
wallaby: mabara
water: e\a\a
water: e\a\a
water: edo
water: edo
water: erio
water: irio
water: irio
water: ogó
we two (incl.): wa
we two (incl.): wa
we: ya
what: ane
when: abododo
white: kori(kori)
who: aná
wife: aweta
with: -ma
woman: aruma
woman: aveta-pu
woman: aveta-pu
woman: aweta
woman: aweta
woman: aweta
woman: wari
woman: wari
wood: ina
wood: isu
yesterday: arena
you two: ya
you two: ya
