all: koull
and: d\
and: id\
ankle: touzouziθ
arm: iǯ
arrow: ndek
ashes: tiǯeft
back: amard\i
bad: eǯ ille
bark: taferki
because: deg oueigi
belly: ar\mellað
belly: taxša
big: ioxši
bird: ar\daoud̪
bite: ioumat̪
bite: taffazak
bitter: šemoum
black: ed\eǯ
blood: d\ammen
blow: emšoud\
bone: issi
boy: erbi
branch: arš
breast: iffi
breathe: ekenfeǯ
breathe: enfes
brother: ar\mi
burn: ender
calf: agouandouž
cheek: šdeg
chest: gourgaren
child: agzi
child: ameined\
claw: gouhadeš
cloud: akkanag
cold: tešmouǯi
come: šedd
correct: emtet
cut: kadeši
daughter: tegθout
day: ass
die: emmi
die: tamettant
dig: endaǯ
dirty: ilfa
dog: eθed\i
dog: id\i
drink: išba
dry: aour
dust: r\obra
ear: tamazgoud̪
earth: ageč
eat: eč
egg: tar\d\oud̪
elbow: tiːmmert
eye: h\ažeb
eye: tod̪
face: ad\m
fall: ad\ar
far: ioubbok
father: baba
fat (n.): tad\ount
fear: axšoud
fear: ed\edef
fear: zašoud\
feather: ašektou
few: axout
fight: einiš
finger: ad\ar\d\i
fingernail: sker
finger: ogmouš
fire: azzoun
fish: asemki
five: šoumouš
float: tam
flow: ebd\i
flower: dešma
fly (n.): iži
fog: arešraš
foot: ad\ar
foot: ouriž
forehead: ir
forest: šaren
four: akkoz
fruit: gdiš
full: ieṭeskan
full: t̪eskan
girl: tegzit
give: offa
good: iəžmandar
grass: iskoun
green: beid\eh\
guts: delma
guts: t̪ouran
hair: ouzban
hand: afouš
hand: touletemit
head: if
hear: gera
heart: ouǯ
heavy: azzeg
here: ialliθ
he/she: eš
he/she: ˗iat̪
he/she: ˗it
he/she: nenta
he/she: nentaka
he/she: netta
he/she: nta
he/she: ntaket
he/she: ntehadat̪
he/she: ˗tet̪
he/she: ˗ti
he/she: ˗tou
hit: aouš
hole: tanit̪
horn: teska
house: addar
how: tak
how: teǯ maied
hunt: germad\ek
husband: tamerous
ice: tebroud
if: ed\in
I: ˗i
I: ˗in
in: deg
I: nik
I: nika
I: nikan
jaw: h\anouk
kill: eni
knee: offoud\
know: essin
laugh: eineg
left: ažedmat̪
leg: ad\ar
leg: tada
lie: anender
lip: touθaouen
live: ell
live: iegeh
liver: taša
long: efelle
long: ozef
louse: fič
louse: tillikt
man: əgiǯ
man: h\alil
many: tikši
many: uaǯa
meat: aisum
meat: čižži
moon: ežžir
mother: ioumma
mountain: ergem
mouth: immi
name: ašm
nape: agarθ
narrow: oul ežmerad̪
navel: tamað
near: iouz
new: nšeʂ
new: tamaid\ani
night: id̪
not: ouer
not: our
old: telkehlit̪
one: (ne)oun
other: iǯoudan
person: menan
play: arrar
pull: aoug
push: eikem
rain: akkanak
rat: ak\ardi
rat: tameid\anes
red: žobba
right: afoušeš
river: il
road: toures
root: tadrisa
rope: ižiger
rotten: blah\
round: h\afoul
rub: r\abbaš
salt: terert
sand: teferi
say: ini
say: šaoueǯ
scratch: teǯrah\
seed: šoudaǯen
see: zar
short: keǯiǯ
shoulder: tor\od\
sing: ittanek
sister: iedem
sit: imi
skin: iǯem
sleep: somm
small: imezzigen
smoke: obi
snake: ouager
son: ogzein
son: ogzi
sour: fell
spit: iamšedi
spit: oud\men
split: t̪ammeg
squeeze: taaça
star: ed\eri
stone: tirgit̪
suck: temes
sun: taoufoukt
sweet: tamoumt
swell: čoud\ak
swim: taam
tail: žeff
take: əzgi
they: enšen
they: enšent
they: nahni
they: netnin
they: ntahiat
they: ten
they: tinied\
thick: d\aouer
thigh: tama
thin: it̪era
this: ad\
this: aid\
this: an
this: in
this: tad\
thou: ˗am
thou: ˗ek
thou: ˗em
thou: kem
thou: ˗ki
thou: kou
thou: koum
thou: ouk
three: karad\
throw: (a)ger
tie: an
tie: gillek
tomorrow: tiǯgen
tongue: eči
tooth: oukši
tree: tešoudda
turn: tetter
two: šinan
vagina: geddam
vomit: tarer
walk: edda
walk: eg
walk: er\iebek
warm: err(vb.)
wash: iessered\
water: aman
weep: enðaoun
weep: iǯa
we: ˗nak
we: ˗nan
we: nekini
we: nokouni
wet: ̪oud\eg
what: kai
what: keid\
what: ta
when: tak ažerer
white: molliǯ
who: ma
who: taka
wide: ianiǯoua
wind: afrioui
wind: ažaouen
wipe: r\abbeš
with: id\
woman: temti
woman: tinečint
wood: eššet̪
worm: r\ourbeil
year: ašebeš
yellow: iere
yesterday: eǯouð
you: ˗koun
you: ˗ned koummed\
you: nentni
you: netnahint
you: netnin
you: ˗nouen
