all: biriɲ
animal: yuṛi
animal: yuṛi
ankle: badgi
arm: duru
arm: duru
arm: maŋgu
ashes: bud̪a
back: bangaḍ
back: burgu
back: burgu
bad: wadguwadgu
bark: bandil
belly: banbu
belly: banbu
belly: baṭi
belly: baṭi
big: wanba
bird: baya
bird: winɟaṛu
bird: winɟaṛu
bite: bad̪a
bitter: gaṭi
black: gudul
black: mida mida
black: mida mida
blood: guma
blood: waɹ̣a
blow: baɲɟi
blow: buŋga
bone: maka
bone: yarun
bone: yarun
boy: gandu
boy: gandu
boy: maḍi gabun
breast: ŋamun
breast: ŋamun
breast: ŋamun
breathe: buyu
breathe: buyu bicu
brother: dagu
brother: dagu
brother: d̪aguɲ
brother: wabuḍu
burn: man̪d̪i
burn: wad̪u
calf: maka
cheek: ŋuḷku
chest: waṇga
child: gabun
child: gandu
child: gandu
child: wuṛa
child: wuṛa
chin: ŋaṇmu
claw: bikaɲ
cloud: baṇŋara
cloud: d̪aɹ̣iŋara
cold: yagal
come: budba
come: burba-
come: burba-
come: gan̪a
come: waɟa-
come: waɟa-
come: waba
correct: yaɲɟa
count: baɲma
cut: baba
cut: babi
cut: baɲɟu
dark: biṭa
daughter: bukul
day: buwaɲ
day: duṛu
day: duṛu
die: gaṛi
die: gaṛi
die: gaṛi-
die: gaṛi-
die: gun̪d̪i
dig: baga
dig: gamba
dog: ŋuda
dog: ŋuran
dog: ŋuran
drink: d̪ala
drink: yuga-
drink: yuga-
dry: yaḷga
dust: bulguɹ̣a
ear: maŋa
ear: maŋa
ear: maŋa
earth: d̪aka
earth: nanti
earth: nanti
earth: nanti
earth: nanti
eat: d̪ala
eat: yuga-
eat: yuga-
egg: gabuɲ
egg: gabuɲ
egg: gabuɲ
elbow: d̪uṭi
emu: gulbaɹ̣i
emu: gulbari
emu: gulbari
eye: dili
eye: dili
eye: d̪ili
face: guː
face: guː
face: milgan
face: milgan
face: ŋuɲɟa
face: nuntur
face: nuntur
fall: d̪aŋgi
fall: waṛa-
fall: waṛa-
far: gambari
far: gundu
far: gundu
father: yabu
father: yabu
father: yabu
father: yabunu
fat (n.): d̪ami
fear: gala
feather: buda
few: gudbaɹ̣a
fight: diŋgami-
fight: diŋgami-
finger: maṛa
finger: maṛa
fingernail: bikaɲ
fire: buḍi
fire: buṛi
fire: buṛi
fire: yacu
fish: guyu
fish: wina
fish: wina
float: miṭi
flow: waɹ̣a
fly (n.): n̪imun
fog: gugumba
foot: dina
foot: dina
foot: d̪ina
forehead: milgan
full: miɲa
girl: gandu
girl: gandu
girl: madgaɹ̣a
good: mudga
grass: ud̪un
guts: baṭi
hair: dungu
hair: dungu
hair: duṛuɲ
hair: duṛuɲ
hair: d̪uɹ̣uɲ
hair: gada
hair: gada
hair: muɲɟa
hair: muɲɟa
hair: wuṛu
hair: wuṛu
hand: maɹ̣a
hand: maṛa
hand: maṛa
head: bangun
head: bangun
head: dangu
head: dangu
head: dungu
head: dungu
head: gad̪a
hear: imba
hear: imba
heart: ulgu
heavy: utiɲ
heavy: wuɟabari
heavy: wuɟabari
here: ina
here: ini
he/she: n̪ula
he/she: n̪uŋu
he/she: n̪uŋun̪a
hit: balba
hit: diŋga-
hit: diŋga-
hold: mun̪d̪a
hole: yuṇa
horn: n̪algan̪alga
house: gundi
house: gundi
house: gun̪u
hunt: biya
husband: gungal
ice: mid̪aḍ
ice: mid̪aḍ
I: ŋacu
I: ŋan̪a
I: ŋaya
jaw: wakara
kangaroo: bawuda
kangaroo: ŋargu
kangaroo: ŋargu
knee: mugu
knee: mugu
knee: mugu
know: d̪in̪d̪u
laugh: yad̪i
leaf: d̪ala
left: gamara
leg: bala
leg: bala
leg: bala
lie: una
lightning: maniɲ
lip: mimi
lip: munu
lip: munu
liver: d̪iba
long: gudgan
long: gudgan
louse: bangu
louse: d̪iṭi
man: maḍi
man: maṛi
man: maṛi
man: yaŋgud ~ yaŋguḍ
many: d̪iwala
many: wita
meat: yuḍi
meat: yuṛi
meat: yuṛi
moon: gagaḍa
moon: gagaṛa
moon: gagaṛa
mosquito: buduɲ
mosquito: buduɲ
mosquito: buŋgiɲ
mother: yaŋa
mother: yaŋa
mountain: bagul
mountain: bagul
mouth: d̪aː
mouth: daː
mouth: daː
mouth: mini
mouth: mini
mouth: munu
mouth: munu
name: n̪ari
nape: uṭu
narrow: d̪ucu
navel: nimbiɲ
near: wina
neck: gurga
neck: gurga
new: gawula
new: n̪anga
night: biṭa
not: gaɹ̣a
not: gaɹ̣aːndi
not: gaṛa
not: gaṛa
old: gubaguba
old: gunbaɹ̣i
old: maca
old: mudguɲ
old: wadugan
old: wadugan
old: waduṛiɲ
old: waduṛiɲ
one: wakaɲu
one: waŋgar4a
one: waŋgar4a
other: budaɲ
person: maḍi
play: win̪d̪i
rain: d̪aŋgi
rain: gamu
rain: gamu
rain: yugan
rat: maŋkumaŋku
rat: mudi
red: gud̪igud̪i
right: wadguɲ
river: baɹ̣u
river: baɹ̣u
road: maḷa
road: waṇḍa
root: balgara
rope: balka
rotten: gaca
rub: buba
salt: gaṭi
sand: gaḍila
say: gulba
say: ŋalga-
say: ŋalga-
say: ŋan̪d̪i
scratch: biri
see: n̪aː
see: n̪aː
see: naga-
see: naga-
see: naga-
see: naga-
sew: baba
sharp: buca
short: gupu
shoulder: wingal
sing: baɲɟa
sister: bailu
sister: bailu
sister: bayi
sister: bayi
sister: gaminu
sit: binda
sit: binda-
sit: binda-
skin: yut̪al
sky: bandaḍa
sleep: una
small: gapuɲ
smoke: d̪uŋuɲ
snake: d̪ambal
snake: gabul
snake: gabul
snake: munda
snake: munda
snow: mugaḍi
son: d̪idgi
son: d̪uwaɲ ~ d̪uwana
spit: gunkuru
spit: ŋaʎi
stand: d̪ana
star: budu
star: budu
star: niyaḍu
stone: bari
straight: d̪ingil
suck: buʎa
sun: duṛu
sun: duṛu
sun: d̪uɹ̣u
sweet: gaba
sweet: gaba
sweet: guɟa
swell: buŋguli
swim: yuŋaɹ̣a
tail: biḍi
tail: muṛbaṛiɲ
tail: muṛbaṛiɲ
take: gan̪i
take: maṛa
take: maṛa
that: ŋubaɲ
that: n̪uwa
that: n̪uwaɲɟada
there: ŋubaɲ
there: n̪uwa
they: d̪ana
they: d̪anaŋan̪a
they: d̪anaŋu
they two: bula
they two: bulaŋan̪a
they two: bulaŋu
thick: wuɟabari
thick: wuɟabari
thigh: dara
thigh: dara
thigh: d̪ara
think: waɹ̣ibinda
thin: makamaka
this: ina
this: ini
thou: ida
thou: idaŋan̪a
thou: idaŋu
thou: inan̪a
thou: inda
thou: inu
throat: garga
throat: garga
throat: manu
throw: bicu
thunder: bariɲ
tie: gacu
today: gayimba
tomorrow: mugaɹ̣u
tongue: d̪alaɲ
tongue: dalaɲ
tongue: dalaɲ
tooth: iṭa
tooth: yiṛa
tooth: yiṛa
tree: baga
tree: baga
tree: baga
two: bulaṛu
two: bulaṛu
two: ura
unripe: guṇga
vagina: d̪iniḍ
vagina: miṇaɲ
vomit: mulaɲ
walk: waɹ̣a
walk: waɟa-
walk: waɟa-
walk: waɟa-
walk: waɟa-
walk: waba
walk: waba
wallaby: ŋadgu
wallaby: waya
wallaby: waya
warm: buwaɲ
wash: ŋabi
water: gamu
water: gamu
water: gamu
water: muḷu
weep: badi
weep: miʎaḍ
we: ŋana
we: ŋanaŋan̪a
we: ŋanaŋu
wet: d̪an̪d̪i
we two (excl.): ŋali
we two (excl.): ŋaliŋan̪a
we two (excl.): ŋaliŋu
we two (incl.): ŋali
we two (incl.): ŋaliŋan̪a
we two (incl.): ŋaliŋu
white: bunduɲ
wife: guyaḍa
wife: guyaṛila
wife: guyaṛila
wind: yadga
wing: duru
wing: duru
wing: mala
woman: gambi
woman: gambi
woman: wayanbiḍa
wood: baga
wood: baga
wood: buṛi
