all: weweg
ankle: maraiwilm
arm: induḷb
arm: yiwurul
ashes: ubulul
back: mägaḷg
back: mägaḷg
bad: ŋangir
bark: munbau
belly: abeṛweṛe
belly: abeɹ̣weɹ̣e
big: ŋangol
bird: ŋarginɟ
bite: imewemb
bitter: yagilwenɟ
black: uguluiwirm
blood: maneŋulm
blood: maneŋulm
blow: ŋaiyibem
blow: uwɛwɛḷ
bone: iyerm
bone: iyerm
boy: laiguruŋ
boy: ŋalɛbɛmb
branch: manmuɣu
breathe: amɛmigenɟ
breathe: eleŋoind
brother: ŋanelenɟ
brother: ŋaniwau
burn: awögenɛg
burn: uguyɛl
burn: umaɣániːn
butterfly: murumbuṛŋg
cheek: iened
chest: uleŋg
child: meːmer
chin: iɛnɛd
cloud: miṛiṛm
cold: yirug
come: ŋamɛṛgbir
correct: ara nowː
crocodile: wuraŋangiṛū
cut: -ŋaɣainbaḷ
dark: indɛgeber
daughter: ŋeŋilɛmb
day: ɟimerŋun
die: yagul
die: yaṇinguwaɣ
die: yäwul
dig: ŋawöngi
dirty: woiyag gune ɲimer
dog: boːmb
drink: umöɟ
dry: uweɟem
ear: éːnaŋg
earth: uṇɔib
eat: memeɟ
egg: iŋalɛrg
egg: yunɟuḷg
elbow: mawiɟuḷg
emu: iwiɟiiw
emu: wiwiyüw
eye: ibimbiur
eye: iːm
eye: iːm
eye: malaralar
face: yangolm
fall: ŋamaliŋ
father: abaŋgun
fat (n.): ulumäŋg
fear: ŋalimam
fear: yamiraːm
feather: imeɟed
few: mɛl maḷ miyön uŋönd\
fight: miɲaŋargun
finger: umaṇḍ
finger: yunmiyör
fire: wiṛumgarm
fire: wiɹ̣umgarm
fish: ɟiɟid
fly (n.): muṇimuṇi
fly (n.): muṇimuṇi
fly (v.): yayarg
fog: wurawalyam
foot: unmaṇḍ
forehead: yiligaḷ
forest: arawaḷm
full: amamab mamaḷiŋ
full: manɟaliŋara
girl: alwururg
girl: iːlebemb
give: imiyuḍbel
good: -ambiyamulal
grass: maŋunŋun
green: ugaḷgun
hair: aṇawirm
hand: yuṇmiyuṛ
head: wiliŋerm
head: wiliŋerm
hear: ŋagilanɟ
hear: ŋagilanɟ
heart: imuḷmuḷ
heavy: ŋangayaŋam
he/she: ŋaiɟ
he/she: noːg
hit: imilb
hold: yamab
hole: oːwodbu
house: oŋar
hunt: umaɣaiyai
husband: wurilg
I: ŋaːb
I: ŋaːb
kangaroo: oiɟbaɣar
kangaroo: ɔiɟbaɣar
kill: imawaḷ
knee: ŋangaḍ
know: uɣil
lake: igaḍ
laugh: ŋamawöbel
leaf: mayaḷb
left: waɲaŋ
leg: aŋgeŋgal
lie: ŋamely urŋuɲag
lightning: yumbarbar
lip: yagir
live: ŋawirgul
liver: algid\
long: ŋangadamar
long: unberg
louse: ɔːn
man: wurilg
man: wurilg
many: maːḷ
meat: ŋangangeḷ
meat: ŋangan̪gɛl
moon: yäragal
moon: yäragäl
morning: gulugɔiyɛmɛr
morning: imgulugoiyemer
mosquito: manug
mother: irawaːg
mountain: alaiŋam
mountain: ulaiŋam
mouth: yagir
mouth: yagir
name: walŋeigönö
nape: yuŋaḷmuḍ
navel: yörɟ
near: uyörg
neck: yuŋaḷmuḍ
new: anguluwug
not: aṛiwel
old: angunbɛr
old: ɔnbul
one: iyawaːm
other: iyau
person: wurilg
play: amaːmömi
rain: iɲäl
rat: guldag
red: maniŋul
right: uguː
ripe: ŋeːnm
river: iɣarara
river: igararag
road: wungaŋ
root: wurggiriɟ
rotten: yewend\
round: ŋalaigulugul
rub: imuŋör
sand: yaḷŋ
say: -naŋg
scratch: mamemeɟbierɣ
sea: manguwil
seed: waːrg
see: yaṇa
sharp: ŋanmangalg
short: aniŋgurb
short: -gurb
shoulder: muḍangar
sing: mememeŋ
sister: ŋaŋawan
sister: ŋerelenɟ
sit: ŋamen
skin: angirg
skin: imuwuluwaḷ
sky: igaŋg
sleep: yimiɣul ŋɔːɲag
small: ŋalebemb
smell: yawi
smoke: wuŋeŋg
smoke: wuŋɛŋg
smooth: unbɛlɛnɟɛrgemer
snake: yamulargun
son: ŋanelemb
stand: -yanɟ
star: inɟogog
star: yimbarbar
stone: ulaiŋam
stone: ulaiŋam
straight: ɟormud
suck: uɲei
sun: muɣaːliŋ
sun: muɣaːliŋ
sweet: ugaṛyag
swim: -ninɟurb
tail: iːmul
take: imaiyagab
take: imiḷg
there: ŋaɟul
they two: miniminuwumun
thigh: yarbau
think: uɣil
thou: iniminu
thou: miniminu
thou: noːw
three: uŋoind\
throat: mawɔrɟab
throw: ŋimandawurb
thunder: inɟeṛṇḍeg
today: mɛmɛr
tomorrow: ungulugɔiyener
tongue: niɲɟaɟ
tongue: ninɟaɟ
tooth: yirwalig
tree: wungaŋ
turn: aŋalarb
turn: ŋamaɣɛɲɛm
two: uŋgegerg
vomit: ŋamɛmigɛrid\
walk: -maḷɟ
walk: mamarengeg
walk: ŋamaḷy
walk: -nimag
wallaby: ɔiɟbaɣar
warm: alambaṛag
wash: mandaiyinmag
wash: mandaiyunmag
water: ogog
water: ogog
weep: ŋamameleyu
we (excl.): ŋaneminu
we (incl.): ŋarga
we two (excl.): ŋaneminuwumun
we two (incl.): ŋargaminuwumun
what: mibele
when: alad\
where: alad\
white: yawailagawere
who: idag
wife: ŋeːn
wind: malwaid
wing: imaɟad
woman: ŋeːn
woman: ŋeːn
woman: ŋeːn
wood: menɟawul
wood: urɛŋgar
woomera: murgan
yellow: magambaḷb
yes: oge
you two: iniminuwumun
