ankle: mitiɹi
back: tati
bad: winceni
belly: maṭi
big: kitla
bite: -titip-
black: cikim
blood: wulkiɹim
bone: muwa
breast: yeŋi
cheek: ŋalmaṭi
child: yeɹi
cloud: weŋi
crocodile: awuɹumpun
dig: -tim-
dog: wacan
dust: penni
ear: ceŋi
earth: piḷak
egg: muwaɹi
elbow: pipen
emu: muciɹ
eye: miɹi
father: tit̪a
fat (n.): nayi
feather: amuni
fire: cenci
five: punti ŋinɟi
flower: maɹ̣ka
foot: peɹi
forehead: wemi
four: ɟiɟukuni ɟiɟukuni
full: t̪iyeɹ
good: kati
grass: pali
hair: piyimeɹ̣
hand: punti
head: piyi
heart: miɹiɹim
heavy: wutit
he/she: naŋ
he/she: -ø-
he/she: -ø-
hole: yerṭi
house: ŋatta
I: -uŋ-
I: yikin
kangaroo: wacəwuɹaŋ
knee: peŋki
laugh: -aṭu-
leaf: muliŋi
leg: wuɹaŋ
liver: puɹiḷi
long: malupu
man: meɹi
meat: awu
moon: piŋkal
mosquito: awinŋal
mother: kitla
mouth: ŋal
name: maɹi
navel: t̪etiɹ̣
neck: mant̪i
night: nici
not: ampi
old: kunukuni
old: mapintipinti
old: muntak
one: ŋinci
rain: wuti
red: ŋanitiɹŋal
red: waṭi
ripe: wuyaɲmi
river: tiyeɹi
road: tempeɹetuk
rope: puca
rotten: kukup
sand: munniɹi
sea: puɹaŋaŋ
sharp: meltem
shoulder: kaɹ̣i
skin: teɹipiɹi
small: yipeṭi
smoke: camu
snake: aṭatima
spit: cipek
spit: -kutluk-
stand: -pilak-
star: witli
stone: kaɹitla
straight: t̪atma
sun: panti
tail: yeɹi
take: -mittim-
thigh: puwa
thou: -iɲ-
thou: naɲ
three: nimpini
today: yeŋi
tomorrow: niciŋani
tongue: ŋalt̪iɹit̪iɹi
tooth: tiyeɹ̣
tree: t̪awuɹ̣
two: cicukuni
vagina: ciyen
vomit: wewe
walk: paɹ̣pac-
wallaby: wamaŋkan
wash: -pet-
water: wuti
we (incl.): ŋaŋkinim
what: ŋinca
when: kumenpaya
white: pukam
who: ŋinimpa
wind: wiɹiɹ
woman: muntimuku
woomera: kalan
year: waɹi
yesterday: cuwaya
