all: tɪbbɪsi
ashes: tɔdo
back: al˗\gɛla
bad: wərra
bark: gəga
because: iɲakiɲaːra
belly: ɪlli
big: muwari
bird: mɪɟe
bite: siːb˗ɔna
black: ɔr(ɔ)wa
blood: gyeːwa
blow: fiːno
bone: gəm˗ka
boy: kəŋ˗gile
boy: kɔŋ˗ɲela
breast: iːsɔ
breathe: ˗saːri
brother: ɲeːdə˗na
claw: mʊsɛne
cloud: sihaːba
cold: ɔssɔmɔːri
cold: woː
come: laːko
cut: ɟeːno
cut: iːdo
die: tʊrwo
die: turwo
dig: dɪgido
dig: tɪgido
dirty: waːra
dog: kɔlo
drink: moːtu
dry: kɪkɛbe
ear: sigi
earth: kala
eat: ɲəm
egg: ʊm˗ko
elbow: kʊdu
eye: eri
face: muːdi
fall: tɔkɔdo
far: rʊːko
fat (n.): aɲɔwa
fat (n.): ɲənwədət
fear: tɛlwade
feather: fəːta
few: tiːsa
fire: ma
fish: uːdo
five: xamsa
fly (n.): gusɔi
fly (v.): firi
foot: luː
four: lɔːlɔs
full: tɔtuːdu
give: ɔŋ˗kɔno
good: inwaːrdi
good: ware
grass: assɔ
green: seːyro
guts: dɔrɔ
hair: fɔta
hand: sɔro
head: ɔla
hear: eːr
heart: kɔ˗nyɪne
heavy: liːso
here: teː
hit: waːgo
horn: kʊdul
house: kɔmɔ
how: sɛːn
I: ɔŋ
kill: fɔːdu
knee: kʊdu
know: ŋədni
laugh: fɔdakuko
leaf: kəs˗a sigi
left: (˗ni˗)mɛla
live: ˗əltɛ˗
live: feːfere
liver: kibda
long: fʊluːgo
louse: giɲɔ
man: ulisəkəlo
many: fɔɲa
meat: fie
moon: ʔaguwa
mountain: fela
mouth: ɔdu ~ ʊdu
name: maːna
near: loːgi
neck: ŋalu
new: araːya
night: ɔrrɛle
not: haʔa
not: həʔə
old: ɔlɔːdɔ
one: leːdi
other: a kiata
other: taːni
person: kyeːsi
person: unaːta
pull: aːgɔ
push: tɛ˗gɛnə
rain: aːro
rat: die ~ tie
red: fora
right: ɲi˗ɲame
river: si
road: (al˗)aːma
root: filkɔ
rope: kʊlɔ
rub: ebeːdo
salt: kaga ~ gaga
sand: ɔdəːla
say: tuːrano
scratch: g(y)eːgero
seed: wɔːso
see: kɔrmo
sew: mudo
sharp: ɟidəm
short: tiːsa
shoulder: bʊreda
sister: muːna
sit: eːnə
skin: ɟilda
sky: uːdo
sleep: aːno
small: tiːsa
smoke: fur
smooth: dərgəɟe
snake: maːla
spit: ɔːye
squeeze: buːɟo
stand: laːgo
star: mideːro
stone: fela
straight: adilia
sun: biːdi
sweet: kɔrrdi
swell: eθoka
swim: toʔɔni
tail: fʊr
take: amu
that: iːde
there: tiːde
thin: fulugo
this: ˗na
thorn: ɟiːɟi
thou: ɪn
thou: uː
three: ɔːdɔ
throw: mɪɟiro
tie: maːru ~ mɔːru
tomorrow: mər(h)udɔ
tongue: kəla
tooth: ɲi˗di
tooth: ɲi˗du
tree: kəsa
turn: aːŋo
turn: tɔŋɔi
two: waːdi
vagina: tibo
walk: ba
walk: dɔːni ~ dɔːŋi
warm: luː(wa)
water: si
weep: aːdo
we: ɔy
wet: kawušɪli
wet: ɔːdi
what: (šɪ)ŋi ~ sɪŋi
when: ʊru
where: ɪnde
white: fɔ
who: i\ku
who: ɪnu
wind: wo ɔːdi
woman: adaŋyile
woman: adiŋɛlə
wood: ŋəra
year: mu\kʊm
yellow: kuːrkʊM
yesterday: ruɔ
