all: hullɨn
ashes: hamɛd
bark: k\ɛːnč\e
belly: dɛːl
big: gɪːdiːr
bird: ɔ͂ːmf
bite: nɛkkɛse
black: gɛmbɛlla
blood: dɛm
bone: hat\ɨm
breast: t\uːb
burn: anɛddɔt
claw: t\ɨfɨr
cloud: daːbana
cold: bɨrd
come: mɛt\t\aːn
die: moːtɛⁿ
dog: gɨɲɲi
drink: sɛːččin
dry: dɛrɛk\
ear: ɨzzɨn
eat: bɛllyaːn
egg: ɨnk\aːk
eye: iːn
father: aːbba
fat (n.): č\oma
fire: ǯiːra
fish: tʲulʲuːm
fly (n.): zɨmb
foot: ɨngɨr
give: aːbɛːnʲa
good: beːza
grass: beːza
hair: t\ɛgɛr
hand: ɨnǯi
head: ohaːt
hear: samma
heart: wɛzɛːna
horn: k\ɛr
I: eya
kill: k\ɛččiːn
knee: gulbɛt
know: čaːlɛⁿ
leaf: k\ɨt\eːy
liver: gʊbuːt
long: gudɛr
louse: k\ɨmaʻy
man: sɛb
many: bɨzzɨ(n)
meat: bɛsɛrr
moon: t\ɨrk\a
mountain: sɛri
mouth: af
name: sɨm
neck: angɛt
new: wɔːyra
night: aruːt
one: haːd
other: liːlla
rain: zɨnab
red: arroa
road: ɔːnga
root: sɨr
sand: šɛršɛre
say: bal
seed: sɛɲɲi
see: iriːn(o)
sit: tɛguːbbi
skin: guːga
sleep: tɛŋŋi
small: t\iːʲt
smoke: taːn
snake: ɨmbaːb
stand: k\aːna
star: kokɛb
stone: umʊːn
sun: ariːt
swim: waːkan
tail: guːɲna
thin: k\ɛč\č\ɨn
this: yiː
thou: atta
three: šɛːšt
tongue: aramat
tooth: sɨn
tree: ɨnt\eːt
two: hoːyt
walk: hidaⁿ
warm: muːk\
water: maːy
we: ɨɲɲɛ
wet: hurt\ʊːb
what: mɨn
white: goː\mara
who: ma
woman: seːt
you: atum
