# IPA conversion methods over all records.
method	n_records
native_ipa	145937
light_ipa	93297
practical	42874
deferred_latin	3724
americanist	2936
romance_g2p	1781
mayan_g2p	1225
deferred_native	827
latin_g2p	663
cyrillic_g2p	627
slavic_g2p	361
romanization	309
empty	213
yiddish_g2p	209
greek_g2p	207
cmn	101
kana_g2p	78

method	confidence	n_records
americanist	high	2600
americanist	medium	336
cmn	high	101
cyrillic_g2p	high	627
greek_g2p	high	207
kana_g2p	high	78
latin_g2p	high	421
latin_g2p	medium	242
light_ipa	low	2336
light_ipa	medium	90961
mayan_g2p	medium	1225
native_ipa	high	145937
practical	low	1602
practical	medium	41272
romance_g2p	high	647
romance_g2p	low	247
romance_g2p	medium	887
romanization	high	308
romanization	medium	1
slavic_g2p	high	361
yiddish_g2p	high	209

# Converted lists: residual (unconverted) symbols still present
identifier	n_records_w_residual	residual_chars
rosettaproject_akh_swadesh-1	5	é:2 ú:2 á:1
rosettaproject_chy_swadesh-1	153	\:103 ê:24 ô:16 â:9 á:1
rosettaproject_kzf_swadesh-1	2	ū:1 ĵ:1
rosettaproject_med_swadesh-1	13	ö:5 á:3 ó:2 í:1 ë:1 ô:1
rosettaproject_ncm_swadesh-1	27	ö:11 \:11 ò:3 Õ:1 ë:1
rosettaproject_nen_swadesh-1	14	ḍ:10 ō:1 ṇ:1 ū:1 ì:1
rosettaproject_oua_swadesh-1	37	\:33 ḍ:4
rosettaproject_tha_swadesh-1	5	¢:1 Ò:1 Õ:1 à:1 é:1
rosettaproject_thv_swadesh-1	59	\:54 ḍ:4 ẓ:1
rosettaproject_zen_swadesh-1	56	\:55 ṭ:1
