# Distinct IPA segments across the corpus IPA layer, with features.
segment	type	description	tone	n_occurrences	n_lists
a	vowel	open front unrounded vowel		175448	951
i	vowel	close front unrounded vowel		101362	943
n	consonant	voiced alveolar nasal		79309	945
u	vowel	close back rounded vowel		79301	941
m	consonant	voiced bilabial nasal		61041	941
e	vowel	close-mid front unrounded vowel		60563	858
o	vowel	close-mid back rounded vowel		56741	852
r	consonant	voiced alveolar trill		54036	922
k	consonant	voiceless velar plosive		53692	869
ɡ	consonant	voiced velar plosive		46776	865
t	consonant	voiceless alveolar plosive		43348	873
l	consonant	voiced alveolar lateral approximant		38426	868
b	consonant	voiced bilabial plosive		36742	864
w	consonant	voiced labial-velar approximant		29545	877
d	consonant	voiced alveolar plosive		28143	852
s	consonant	voiceless alveolar fricative		26508	760
p	consonant	voiceless bilabial plosive		23083	769
ŋ	consonant	voiced velar nasal		22007	710
ɛ	vowel	open-mid front unrounded vowel		16932	586
h	consonant	voiceless glottal fricative		16753	611
y	vowel	close front rounded vowel		14990	620
j	consonant	voiced palatal approximant		10291	487
ə	vowel	mid central unrounded vowel		9889	462
ʔ	consonant	voiceless glottal plosive		9010	435
ʌ	vowel	open-mid back unrounded vowel		8907	284
ɔ	vowel	open-mid back rounded vowel		8808	497
ë	vowel	centralized close-mid front unrounded vowel		8174	292
f	consonant	voiceless labiodental fricative		7507	504
ɟ	consonant	voiced palatal plosive		5676	261
aː	vowel	long open front unrounded vowel		5298	466
á	vowel	open front unrounded vowel	high	4854	250
v	consonant	voiced labiodental fricative		4765	360
ɲ	consonant	voiced palatal nasal		4215	335
c	consonant	voiceless palatal plosive		3836	247
iː	vowel	long close front unrounded vowel		3382	437
z	consonant	voiced alveolar fricative		3229	332
ɑ	vowel	open back unrounded vowel		3140	71
í	vowel	close front unrounded vowel	high	2906	211
ɪ	vowel	near-close front unrounded vowel		2628	246
t͡ʃ	consonant	voiceless postalveolar affricate		2484	278
ʃ	consonant	voiceless postalveolar fricative		2261	216
ú	vowel	close back rounded vowel	high	2223	199
x	consonant	voiceless velar fricative		2221	186
ɨ	vowel	close central unrounded vowel		2209	141
β	consonant	voiced bilabial fricative		2138	206
ï	vowel	centralized close front unrounded vowel		2134	113
d͡ʒ	consonant	voiced postalveolar affricate		2109	284
uː	vowel	long close back rounded vowel		2067	358
d̪	consonant	voiced dental plosive		2026	96
t̪	consonant	voiceless dental plosive		1774	105
ṛ	consonant	voiced retroflex trill		1674	94
eː	vowel	long close-mid front unrounded vowel		1661	274
oː	vowel	long close-mid back rounded vowel		1655	315
ɣ	consonant	voiced velar fricative		1655	191
ʊ	vowel	near-close back rounded vowel		1650	154
é	vowel	close-mid front unrounded vowel	high	1626	178
ó	vowel	close-mid back rounded vowel	high	1599	177
ä	vowel	centralized open front unrounded vowel		1532	175
ḍ	consonant	voiced retroflex plosive		1530	110
ò	vowel	close-mid back rounded vowel	low	1521	106
ɸ	consonant	voiceless bilabial fricative		1469	134
ḷ	consonant	voiced retroflex lateral approximant		1466	100
à	vowel	open front unrounded vowel	low	1363	91
ɹ̣	consonant	voiced retroflex approximant		1313	81
ṇ	consonant	voiced retroflex nasal		1163	91
ɔː	vowel	long open-mid back rounded vowel		1009	182
è	vowel	close-mid front unrounded vowel	low	1001	99
q	consonant	voiceless uvular plosive		979	110
kʰ	consonant	voiceless aspirated velar plosive		975	89
ɹ	consonant	voiced alveolar approximant		968	35
ɔ́	vowel	open-mid back rounded vowel	high	963	77
n̪	consonant	voiced dental nasal		949	76
ɛ́	vowel	open-mid front unrounded vowel	high	928	91
tʰ	consonant	voiceless aspirated alveolar plosive		811	103
ǃ	consonant	voiceless postalveolar click		802	28
ɒ	vowel	open back rounded vowel		770	41
ɛː	vowel	long open-mid front unrounded vowel		770	218
ṭ	consonant	voiceless retroflex plosive		709	79
ü	vowel	centralized close back rounded vowel		684	88
a:	vowel	long open front unrounded vowel		656	142
áː	vowel	long open front unrounded vowel	high	643	73
ö	vowel	centralized close-mid back rounded vowel		615	56
ì	vowel	close front unrounded vowel	low	611	78
ɗ	consonant	voiced alveolar implosive		601	59
â	vowel	open front unrounded vowel	falling	594	43
ʒ	consonant	voiced postalveolar fricative		561	143
ā	vowel	long open front unrounded vowel		546	40
ʌː	vowel	long open-mid back unrounded vowel		532	88
ð	consonant	voiced dental fricative		531	55
pʰ	consonant	voiceless aspirated bilabial plosive		525	79
ɓ	consonant	voiced bilabial implosive		519	54
ë:	vowel	long centralized close-mid front unrounded vowel		515	77
a͂	vowel	U+0342 open front unrounded vowel		484	67
i:	vowel	long close front unrounded vowel		481	142
ǀ	consonant	voiceless dental click		460	9
ǁ	consonant	voiceless alveolar lateral click		455	9
