# light_ipa lists: records carrying ambiguous Latin letters (c y j x q)
# whose IPA value is source-specific -> resolve per source next.
identifier	n_records	n_with_ambiguous	ambiguous_letters
rosettaproject_aad_swadesh-1	159	14	y:13 j:1
rosettaproject_aau_swadesh-1	96	14	y:14
rosettaproject_abw_swadesh-1	323	36	y:30 j:6
rosettaproject_abz_swadesh-1	548	85	y:81 q:5 x:2 j:1
rosettaproject_acx_swadesh-1	98	15	q:12 j:2 x:1
rosettaproject_afz_swadesh-1	288	8	j:6 y:2
rosettaproject_ahh_swadesh-1	322	20	y:14 x:6
rosettaproject_aif_swadesh-1	55	12	y:6 x:4 j:2
rosettaproject_ain_swadesh-1	2555	487	y:351 x:114 j:23 c:16
rosettaproject_akc_swadesh-1	657	104	y:84 j:18 c:2
rosettaproject_akv_swadesh-1	113	5	q:4 x:1
rosettaproject_amg_swadesh-1	241	23	y:23
rosettaproject_amj_swadesh-1	34	0	
rosettaproject_amt_swadesh-1	246	41	y:41
rosettaproject_anz_swadesh-1	336	12	x:12
rosettaproject_aod_swadesh-1	14	0	
rosettaproject_aoi_swadesh-1	306	80	y:66 j:10 c:6
rosettaproject_aos_swadesh-1	809	122	y:107 q:13 c:1 x:1
rosettaproject_ape_swadesh-1	246	25	y:22 j:1 c:1 x:1
rosettaproject_aqm_swadesh-1	120	35	x:15 c:14 y:9
rosettaproject_arv_swadesh-1	91	33	y:32 j:1
rosettaproject_arw_swadesh-1	245	0	
rosettaproject_aso_swadesh-1	267	4	y:2 j:2
rosettaproject_ata_swadesh-1	283	22	x:20 y:2
rosettaproject_auk_swadesh-1	54	8	y:8
rosettaproject_aun_swadesh-1	60	5	y:5
rosettaproject_auy_swadesh-1	693	113	y:108 j:4 q:1
rosettaproject_ava_swadesh-1	114	13	x:4 j:4 q:3 c:2
rosettaproject_awb_swadesh-1	611	105	y:103 q:2
rosettaproject_awi_swadesh-1	107	0	
rosettaproject_awr_swadesh-1	294	35	y:34 j:1
rosettaproject_aya_swadesh-1	91	3	y:2 j:1
rosettaproject_bbl_swadesh-1	118	24	q:10 j:10 c:5
rosettaproject_bdh_swadesh-1	24	4	y:4
rosettaproject_beo_swadesh-1	429	16	y:16
rosettaproject_beu_swadesh-1	629	77	y:50 x:17 j:12 q:5 c:2
rosettaproject_bey_swadesh-1	73	5	y:5
rosettaproject_bfn_swadesh-1	305	10	c:5 y:5
rosettaproject_bgv_swadesh-1	109	13	y:7 x:5 j:1
rosettaproject_bir_swadesh-1	254	61	y:56 x:7
rosettaproject_bjr_swadesh-1	186	0	
rosettaproject_bjy_swadesh-1	152	11	y:11
rosettaproject_bkl_swadesh-1	842	67	y:33 j:31 q:3 c:3
rosettaproject_blb_swadesh-1	661	12	j:9 y:1 x:1 c:1
rosettaproject_bmu_swadesh-1	335	9	y:9
rosettaproject_boj_swadesh-1	357	43	y:27 j:16
rosettaproject_bon_swadesh-1	1263	98	y:87 j:11
rosettaproject_bpm_swadesh-1	315	8	y:8
rosettaproject_bpp_swadesh-1	462	58	x:21 y:21 q:8 j:7 c:2
rosettaproject_bpu_swadesh-1	365	38	y:22 j:16
rosettaproject_bpv_swadesh-1	142	7	x:5 y:2
rosettaproject_bql_swadesh-1	324	30	y:30
rosettaproject_bqq_swadesh-1	266	35	y:27 c:6 j:2 x:1
rosettaproject_buo_swadesh-1	399	0	
rosettaproject_buq_swadesh-1	343	14	y:14
rosettaproject_bvz_swadesh-1	460	5	y:4 x:1
rosettaproject_bxz_swadesh-1	164	6	y:6
rosettaproject_bye_swadesh-1	73	26	y:26
rosettaproject_bym_swadesh-1	265	49	y:48 j:1
rosettaproject_byt_swadesh-1	212	5	y:5
rosettaproject_bzr_swadesh-1	291	51	y:51
rosettaproject_bzu_swadesh-1	316	28	j:14 y:13 c:2
rosettaproject_che_swadesh-1	115	22	j:10 c:9 q:5
rosettaproject_cjv_swadesh-1	200	29	y:29
rosettaproject_dad_swadesh-1	182	46	y:46
rosettaproject_dar_swadesh-1	215	44	q:23 c:11 j:6 x:5
rosettaproject_dau_swadesh-1	177	12	y:11 j:1
rosettaproject_dbf_swadesh-1	248	30	y:24 j:6
rosettaproject_ddo_swadesh-1	117	26	j:12 c:9 q:7
rosettaproject_ded_swadesh-1	223	8	y:8
rosettaproject_dei_swadesh-1	131	13	j:7 c:3 y:3
rosettaproject_dem_swadesh-1	235	44	y:43 j:1
rosettaproject_dia_swadesh-1	126	41	y:31 x:14
rosettaproject_djr_swadesh-1	29	1	y:1
rosettaproject_dmu_swadesh-1	327	15	y:12 j:1 q:1 x:1
rosettaproject_dna_swadesh-1	67	2	y:2
rosettaproject_dnt_swadesh-1	268	16	y:9 x:4 q:3
rosettaproject_doa_swadesh-1	209	18	y:16 c:2
rosettaproject_dof_swadesh-1	146	5	y:5
rosettaproject_duc_swadesh-1	135	16	y:16
rosettaproject_duv_swadesh-1	388	11	y:5 j:3 x:3
rosettaproject_ekg_swadesh-1	1230	231	y:196 x:42 c:3 q:1
rosettaproject_ele_swadesh-1	175	45	y:35 j:9 c:3
rosettaproject_elk_swadesh-1	67	14	y:14
rosettaproject_enq_swadesh-1	723	173	y:166 x:4 c:3 j:2
rosettaproject_eri_swadesh-1	381	39	y:30 j:9
rosettaproject_ert_swadesh-1	250	24	y:12 x:8 j:6
rosettaproject_faa_swadesh-1	397	33	y:33
rosettaproject_fai_swadesh-1	119	13	y:7 q:5 j:1
