identifier	encoding	kind	kept	dropped
rosettaproject_aad_swadesh-1	utf-8	transcription	159	21
rosettaproject_aak_swadesh-1	utf-8	transcription	101	0
rosettaproject_aar_swadesh-1	utf-8	transcription	147	2
rosettaproject_aau_swadesh-1	utf-8	transcription	96	37
rosettaproject_abe_swadesh-1	utf-8	transcription	140	0
rosettaproject_abj_swadesh-1	utf-8	transcription	899	88
rosettaproject_abk_swadesh-1	utf-8	transcription	114	3
rosettaproject_abq_swadesh-1	utf-8	transcription	114	4
rosettaproject_abt_swadesh-1	utf-8	transcription	481	338
rosettaproject_abw_swadesh-1	utf-8	transcription	323	103
rosettaproject_aby_swadesh-1	utf-8	transcription	101	90
rosettaproject_abz_swadesh-1	utf-8	transcription	548	90
rosettaproject_ace_swadesh-1	utf-8	transcription	182	3
rosettaproject_ach_swadesh-1	utf-8	transcription	13	0
rosettaproject_aci_swadesh-1	utf-8	transcription	529	66
rosettaproject_ack_swadesh-1	utf-8	transcription	268	0
rosettaproject_acl_swadesh-1	utf-8	transcription	695	70
rosettaproject_acr_swadesh-1	utf-8	transcription	84	0
rosettaproject_acx_swadesh-1	utf-8	transcription	98	0
rosettaproject_ado_swadesh-1	utf-8	transcription	18	2
rosettaproject_ady_swadesh-1	utf-8	transcription	114	0
rosettaproject_aey_swadesh-1	utf-8	transcription	390	109
rosettaproject_afb_swadesh-1	utf-8	transcription	94	0
rosettaproject_afi_swadesh-1	utf-8	transcription	19	4
rosettaproject_afr_swadesh-1	utf-8	transcription	329	203
rosettaproject_aft_swadesh-1	utf-8	transcription	61	2
rosettaproject_afz_swadesh-1	utf-8	transcription	288	142
rosettaproject_agl_swadesh-1	utf-8	transcription	287	64
rosettaproject_ahg_swadesh-1	utf-8	transcription	96	0
rosettaproject_ahh_swadesh-1	utf-8	transcription	322	70
rosettaproject_aif_swadesh-1	utf-8	transcription	55	29
rosettaproject_ail_swadesh-1	utf-8	transcription	152	39
rosettaproject_ain_swadesh-1	utf-8	transcription	2555	4321
rosettaproject_aja_swadesh-1	utf-8	transcription	215	4
rosettaproject_akc_swadesh-1	utf-8	transcription	657	222
