# Tier-3a practical orthography -> broad IPA (scripts/practical_g2p.py).
# ng->ŋ, ny->ɲ, 'y' glide->/j/; c/x/q passed at IPA value but flagged.
# n_backslash = records with the '\' corruption (source-specific glottal/
# ejective) dropped as noise -> per-source recovery is future work.
identifier	lang_code	n_records	n_low_conf	n_recs_ng	n_recs_ny	n_backslash	residual_letters
rosettaproject_aak_swadesh-1	aak	101	1	36	4	34	q:1
rosettaproject_abe_swadesh-1	abe	140	4	0	0	0	c:4
rosettaproject_aby_swadesh-1	aby	101	0	0	0	6	
rosettaproject_ack_swadesh-1	ack	268	56	23	20	0	c:48 y:9
rosettaproject_afr_swadesh-1	afr	328	16	10	2	1	y:15 c:1
rosettaproject_akj_swadesh-1	akj	38	4	3	1	0	c:4
rosettaproject_akq_swadesh-1	akq	1	0	0	0	0	
rosettaproject_amn_swadesh-1	amn	21	0	2	0	0	
rosettaproject_anj_swadesh-1	anj	106	1	13	3	0	c:1
rosettaproject_aoj_swadesh-1	aoj	3	0	1	0	0	
rosettaproject_aon_swadesh-1	aon	15	0	4	0	0	
rosettaproject_apz_swadesh-1	apz	103	0	12	2	10	
rosettaproject_asc_swadesh-1	asc	377	0	0	0	8	
rosettaproject_asi_swadesh-1	asi	180	0	0	2	1	
rosettaproject_auw_swadesh-1	auw	643	6	51	5	1	c:4 q:2
rosettaproject_ayz_swadesh-1	ayz	719	47	11	10	3	x:40 c:3 y:3 q:1
rosettaproject_bdw_swadesh-1	bdw	351	12	45	2	1	q:6 c:4 x:3
rosettaproject_bhl_swadesh-1	bhl	45	0	0	0	20	
rosettaproject_bhq_swadesh-1	bhq	232	1	21	0	38	x:1
rosettaproject_bic_swadesh-1	bic	98	1	0	0	0	x:1
rosettaproject_bjc_swadesh-1	bjc	32	0	0	0	1	
rosettaproject_bnv_swadesh-1	bnv	105	2	7	0	0	c:1 y:1
rosettaproject_bqs_swadesh-1	bqs	120	0	20	0	0	
rosettaproject_brh_swadesh-1	brh	33	6	9	0	0	x:6
rosettaproject_brp_swadesh-1	brp	53	0	0	0	2	
rosettaproject_bwk_swadesh-1	bwk	71	0	0	0	12	
rosettaproject_byr_swadesh-1	byr	101	5	8	17	25	q:4 y:1
rosettaproject_byx_swadesh-1	byx	364	57	45	0	1	x:54 q:4
rosettaproject_bzp_swadesh-1	bzp	628	16	18	0	1	x:16
rosettaproject_ccp_swadesh-1	ccp	100	4	6	0	0	c:4
rosettaproject_ceb_swadesh-1	ceb	248	0	25	0	0	
rosettaproject_chr_swadesh-1	chr	35	2	0	0	0	q:1 y:1
rosettaproject_cjn_swadesh-1	cjn	15	0	5	0	0	
rosettaproject_cns_swadesh-1	cns	847	81	0	0	21	c:81
rosettaproject_crk_swadesh-1	crk	183	13	0	0	0	c:13
rosettaproject_dba_swadesh-1	dba	94	0	1	1	0	
rosettaproject_dbe_swadesh-1	dbe	84	1	1	0	0	c:1
rosettaproject_ddg_swadesh-1	ddg	397	17	0	0	23	c:17
rosettaproject_dgz_swadesh-1	dgz	278	0	0	0	4	
rosettaproject_dih_swadesh-1	dih	13	3	0	0	0	c:3
rosettaproject_dmy_swadesh-1	dmy	450	14	75	10	0	c:13 x:1
rosettaproject_drr_swadesh-1	drr	18	0	3	0	0	
rosettaproject_eip_swadesh-1	eip	326	1	14	16	0	c:1
rosettaproject_enr_swadesh-1	enr	214	6	20	0	0	x:3 q:2 c:1
rosettaproject_etz_swadesh-1	etz	197	0	13	0	0	
rosettaproject_fij_swadesh-1	fij	184	0	0	0	0	
rosettaproject_flh_swadesh-1	flh	42	0	0	0	0	
rosettaproject_fuc_swadesh-1	fuc	164	8	9	0	0	c:8
rosettaproject_fuy_swadesh-1	fuy	596	0	37	0	29	
rosettaproject_gaf_swadesh-1	gaf	351	0	20	6	0	
rosettaproject_gai_swadesh-1	gai	101	0	19	0	6	
rosettaproject_gao_swadesh-1	gao	7	0	0	3	0	
rosettaproject_gdb_swadesh-1	gdb	74	2	0	0	0	c:2
rosettaproject_gdn_swadesh-1	gdn	91	0	0	0	3	
rosettaproject_gli_swadesh-1	gli	41	0	9	0	0	
rosettaproject_gno_swadesh-1	gno	82	1	0	0	0	c:1
rosettaproject_gnu_swadesh-1	gnu	1	0	0	0	0	
rosettaproject_guj_swadesh-1	guj	71	6	0	0	0	c:6
rosettaproject_guz_swadesh-1	guz	79	10	6	8	0	c:10
rosettaproject_gvf_swadesh-1	gvf	39	0	0	0	0	
rosettaproject_gvr_swadesh-1	gvr	113	49	13	0	0	q:45 y:9
rosettaproject_hil_swadesh-1	hil	210	0	17	0	0	
rosettaproject_hmt_swadesh-1	hmt	120	32	26	1	33	q:30 y:1 c:1
rosettaproject_iar_swadesh-1	iar	483	1	0	0	43	x:1 c:1
rosettaproject_ibu_swadesh-1	ibu	25	0	0	1	0	
rosettaproject_idi_swadesh-1	idi	80	0	14	0	0	
rosettaproject_jaq_swadesh-1	jaq	335	52	16	0	0	q:43 x:9
rosettaproject_jbj_swadesh-1	jbj	556	0	14	0	0	
rosettaproject_jei_swadesh-1	jei	346	12	14	8	0	c:12
rosettaproject_jet_swadesh-1	jet	664	17	111	0	0	x:10 c:4 q:3 y:1
